iterations=300 child=./trivial
mean_ms=0.6213 median_ms=0.6099 stddev_ms=0.0362 min_ms=0.5738 max_ms=0.8096
RAW 0.573834
RAW 0.577833
RAW 0.578709
RAW 0.579833
RAW 0.580542
RAW 0.580750
RAW 0.581750
RAW 0.581958
RAW 0.582292
RAW 0.584750
RAW 0.585459
RAW 0.585792
RAW 0.586375
RAW 0.586417
RAW 0.586583
RAW 0.587167
RAW 0.587833
RAW 0.588000
RAW 0.588167
RAW 0.588625
RAW 0.589250
RAW 0.589375
RAW 0.590042
RAW 0.590084
RAW 0.590167
RAW 0.590167
RAW 0.590250
RAW 0.590334
RAW 0.590792
RAW 0.591125
RAW 0.591375
RAW 0.591458
RAW 0.591500
RAW 0.592083
RAW 0.592167
RAW 0.592209
RAW 0.592417
RAW 0.592542
RAW 0.592833
RAW 0.592834
RAW 0.593084
RAW 0.593167
RAW 0.593250
RAW 0.593959
RAW 0.594292
RAW 0.594459
RAW 0.594792
RAW 0.595625
RAW 0.595708
RAW 0.595833
RAW 0.596125
RAW 0.596292
RAW 0.596333
RAW 0.596334
RAW 0.596625
RAW 0.596916
RAW 0.597167
RAW 0.597375
RAW 0.597500
RAW 0.597541
RAW 0.597583
RAW 0.597833
RAW 0.597834
RAW 0.597917
RAW 0.598292
RAW 0.598333
RAW 0.598458
RAW 0.598542
RAW 0.598542
RAW 0.598625
RAW 0.598666
RAW 0.598709
RAW 0.598750
RAW 0.598750
RAW 0.599000
RAW 0.599084
RAW 0.599125
RAW 0.599292
RAW 0.599375
RAW 0.599416
RAW 0.599458
RAW 0.599583
RAW 0.599584
RAW 0.599667
RAW 0.600000
RAW 0.600375
RAW 0.600417
RAW 0.600500
RAW 0.600541
RAW 0.600584
RAW 0.600625
RAW 0.600625
RAW 0.600750
RAW 0.600959
RAW 0.601042
RAW 0.601042
RAW 0.601167
RAW 0.601458
RAW 0.601792
RAW 0.601875
RAW 0.602000
RAW 0.602292
RAW 0.602625
RAW 0.602959
RAW 0.603042
RAW 0.603042
RAW 0.603125
RAW 0.603416
RAW 0.603417
RAW 0.603417
RAW 0.603459
RAW 0.603500
RAW 0.603750
RAW 0.603792
RAW 0.603958
RAW 0.604041
RAW 0.604125
RAW 0.604292
RAW 0.604500
RAW 0.604833
RAW 0.604834
RAW 0.604875
RAW 0.604875
RAW 0.604958
RAW 0.605042
RAW 0.605208
RAW 0.605250
RAW 0.605333
RAW 0.605459
RAW 0.605541
RAW 0.605916
RAW 0.605958
RAW 0.606084
RAW 0.606333
RAW 0.606542
RAW 0.606542
RAW 0.606750
RAW 0.606750
RAW 0.607042
RAW 0.607292
RAW 0.607375
RAW 0.607458
RAW 0.607500
RAW 0.607542
RAW 0.607875
RAW 0.608375
RAW 0.608875
RAW 0.609250
RAW 0.609625
RAW 0.609708
RAW 0.610042
RAW 0.610167
RAW 0.610292
RAW 0.610583
RAW 0.610708
RAW 0.611000
RAW 0.611042
RAW 0.611084
RAW 0.611417
RAW 0.612042
RAW 0.612125
RAW 0.612167
RAW 0.612208
RAW 0.612250
RAW 0.612292
RAW 0.612333
RAW 0.612583
RAW 0.612916
RAW 0.612958
RAW 0.613083
RAW 0.613125
RAW 0.613125
RAW 0.613167
RAW 0.613167
RAW 0.613292
RAW 0.613584
RAW 0.613666
RAW 0.613708
RAW 0.614334
RAW 0.614375
RAW 0.614458
RAW 0.614625
RAW 0.614875
RAW 0.614917
RAW 0.614917
RAW 0.615167
RAW 0.615250
RAW 0.615542
RAW 0.616458
RAW 0.616625
RAW 0.616625
RAW 0.616666
RAW 0.617125
RAW 0.617709
RAW 0.617833
RAW 0.618167
RAW 0.618208
RAW 0.618333
RAW 0.619000
RAW 0.620041
RAW 0.620458
RAW 0.621292
RAW 0.621292
RAW 0.621375
RAW 0.622209
RAW 0.622292
RAW 0.622334
RAW 0.622583
RAW 0.623375
RAW 0.624042
RAW 0.624250
RAW 0.624500
RAW 0.624500
RAW 0.624625
RAW 0.624875
RAW 0.624875
RAW 0.625000
RAW 0.626458
RAW 0.627458
RAW 0.627583
RAW 0.627625
RAW 0.629125
RAW 0.629250
RAW 0.629375
RAW 0.629458
RAW 0.629542
RAW 0.630917
RAW 0.631417
RAW 0.631750
RAW 0.631875
RAW 0.633250
RAW 0.636458
RAW 0.636459
RAW 0.637667
RAW 0.638834
RAW 0.640166
RAW 0.640875
RAW 0.641166
RAW 0.641167
RAW 0.641334
RAW 0.642334
RAW 0.642583
RAW 0.642917
RAW 0.643042
RAW 0.643333
RAW 0.643458
RAW 0.643667
RAW 0.644000
RAW 0.644083
RAW 0.644125
RAW 0.646917
RAW 0.647291
RAW 0.650042
RAW 0.651958
RAW 0.652041
RAW 0.652292
RAW 0.652958
RAW 0.655250
RAW 0.655292
RAW 0.656500
RAW 0.657791
RAW 0.658750
RAW 0.661542
RAW 0.663458
RAW 0.663667
RAW 0.664584
RAW 0.666167
RAW 0.666666
RAW 0.668792
RAW 0.669667
RAW 0.670375
RAW 0.672750
RAW 0.675417
RAW 0.675542
RAW 0.680667
RAW 0.681334
RAW 0.682125
RAW 0.682750
RAW 0.684750
RAW 0.689458
RAW 0.692167
RAW 0.694917
RAW 0.696042
RAW 0.698417
RAW 0.699084
RAW 0.700541
RAW 0.701416
RAW 0.702708
RAW 0.705584
RAW 0.706792
RAW 0.708458
RAW 0.712291
RAW 0.715542
RAW 0.735709
RAW 0.741459
RAW 0.745416
RAW 0.759334
RAW 0.762833
RAW 0.771541
RAW 0.809625
