:START_ID,DATA,:END_ID,:TYPE
MO_100001_1,NONE,MO_4_e,MAP
MO_100001_1,NONE,VMR_9_4,MAP
MO_100001_2,NONE,MO_4_e,MAP
MO_100001_2,NONE,VMR_9_4,MAP
MO_100001_3,NONE,MO_4_e,MAP
MO_100001_3,NONE,VMR_9_4,MAP
MO_100001_4,NONE,MO_4_e,MAP
MO_100001_4,NONE,VMR_9_4,MAP
MO_100001_5,NONE,MO_4_e,MAP
MO_100001_5,NONE,VMR_9_4,MAP
MO_100001_6,NONE,MO_4_e,MAP
MO_100001_6,NONE,VMR_9_4,MAP
MO_100001_7,NONE,MO_4_e,MAP
MO_100001_7,NONE,VMR_9_4,MAP
MO_100001_8,NONE,MO_4_e,MAP
MO_100001_8,NONE,VMR_9_4,MAP
MO_100001_9,NONE,MO_4_e,MAP
MO_100001_9,NONE,VMR_9_4,MAP
MO_100001_10,NONE,MO_4_e,MAP
MO_100001_10,NONE,VMR_9_4,MAP
MO_100001_11,NONE,MO_4_e,MAP
MO_100001_11,NONE,VMR_9_4,MAP
MO_100001_12,NONE,MO_4_e,MAP
MO_100001_12,NONE,VMR_9_4,MAP
MO_100001_13,NONE,MO_4_e,MAP
MO_100001_13,NONE,VMR_9_4,MAP
MO_100001_14,NONE,MO_4_e,MAP
MO_100001_14,NONE,VMR_9_4,MAP
MO_100001_15,NONE,MO_4_e,MAP
MO_100001_15,NONE,VMR_9_4,MAP
MO_100001_16,NONE,MO_4_e,MAP
MO_100001_16,NONE,VMR_9_4,MAP
MO_100001_17,NONE,MO_4_e,MAP
MO_100001_17,NONE,VMR_9_4,MAP
MO_100001_18,NONE,MO_4_e,MAP
MO_100001_18,NONE,VMR_9_4,MAP
MO_100001_19,NONE,MO_4_e,MAP
MO_100001_19,NONE,VMR_9_4,MAP
MO_100001_20,NONE,MO_4_e,MAP
MO_100001_20,NONE,VMR_9_4,MAP
MO_100001_21,NONE,MO_4_e,MAP
MO_100001_21,NONE,VMR_9_4,MAP
MO_100001_22,NONE,MO_4_e,MAP
MO_100001_22,NONE,VMR_9_4,MAP
MO_100001_23,NONE,MO_4_e,MAP
MO_100001_23,NONE,VMR_9_4,MAP
MO_100001_24,NONE,MO_4_e,MAP
MO_100001_24,NONE,VMR_9_4,MAP
MO_100001_25,NONE,MO_4_e,MAP
MO_100001_25,NONE,VMR_9_4,MAP
MO_100001_26,NONE,MO_4_e,MAP
MO_100001_26,NONE,VMR_9_4,MAP
MO_100001_27,NONE,MO_4_e,MAP
MO_100001_27,NONE,VMR_9_4,MAP
MO_100001_28,NONE,MO_4_e,MAP
MO_100001_28,NONE,VMR_9_4,MAP
MO_100001_29,NONE,MO_4_e,MAP
MO_100001_29,NONE,VMR_9_4,MAP
MO_100001_30,NONE,MO_4_e,MAP
MO_100001_30,NONE,VMR_9_4,MAP
MO_100001_31,NONE,MO_4_e,MAP
MO_100001_31,NONE,VMR_9_4,MAP
MO_100001_32,NONE,MO_4_e,MAP
MO_100001_32,NONE,VMR_9_4,MAP
MO_100001_33,NONE,MO_4_e,MAP
MO_100001_33,NONE,VMR_9_4,MAP
MO_100001_34,NONE,MO_4_e,MAP
MO_100001_34,NONE,VMR_9_4,MAP
MO_100001_35,NONE,MO_4_e,MAP
MO_100001_35,NONE,VMR_9_4,MAP
MO_100001_36,NONE,MO_4_e,MAP
MO_100001_36,NONE,VMR_9_4,MAP
MO_100001_37,NONE,MO_4_e,MAP
MO_100001_37,NONE,VMR_9_4,MAP
MO_100001_38,NONE,MO_4_e,MAP
MO_100001_38,NONE,VMR_9_4,MAP
MO_100001_39,NONE,MO_4_e,MAP
MO_100001_39,NONE,VMR_9_4,MAP
MO_100001_40,NONE,MO_4_e,MAP
MO_100001_40,NONE,VMR_9_4,MAP
MO_100001_41,NONE,MO_4_e,MAP
MO_100001_41,NONE,VMR_9_4,MAP
MO_100001_42,NONE,MO_4_e,MAP
MO_100001_42,NONE,VMR_9_4,MAP
MO_100001_43,NONE,MO_4_e,MAP
MO_100001_43,NONE,VMR_9_4,MAP
MO_100001_44,NONE,MO_4_e,MAP
