NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
,,NONE,MAP,MO_100001_1,MO_4_e,
,,NONE,MAP,MO_100001_1,VMR_9_4,
,,NONE,MAP,MO_100001_2,MO_4_e,
,,NONE,MAP,MO_100001_2,VMR_9_4,
,,NONE,MAP,MO_100001_3,MO_4_e,
,,NONE,MAP,MO_100001_3,VMR_9_4,
,,NONE,MAP,MO_100001_4,MO_4_e,
,,NONE,MAP,MO_100001_4,VMR_9_4,
,,NONE,MAP,MO_100001_5,MO_4_e,
,,NONE,MAP,MO_100001_5,VMR_9_4,
,,NONE,MAP,MO_100001_6,MO_4_e,
,,NONE,MAP,MO_100001_6,VMR_9_4,
,,NONE,MAP,MO_100001_7,MO_4_e,
,,NONE,MAP,MO_100001_7,VMR_9_4,
,,NONE,MAP,MO_100001_8,MO_4_e,
,,NONE,MAP,MO_100001_8,VMR_9_4,
,,NONE,MAP,MO_100001_9,MO_4_e,
,,NONE,MAP,MO_100001_9,VMR_9_4,
,,NONE,MAP,MO_100001_10,MO_4_e,
,,NONE,MAP,MO_100001_10,VMR_9_4,
,,NONE,MAP,MO_100001_11,MO_4_e,
,,NONE,MAP,MO_100001_11,VMR_9_4,
,,NONE,MAP,MO_100001_12,MO_4_e,
,,NONE,MAP,MO_100001_12,VMR_9_4,
,,NONE,MAP,MO_100001_13,MO_4_e,
,,NONE,MAP,MO_100001_13,VMR_9_4,
,,NONE,MAP,MO_100001_14,MO_4_e,
,,NONE,MAP,MO_100001_14,VMR_9_4,
,,NONE,MAP,MO_100001_15,MO_4_e,
,,NONE,MAP,MO_100001_15,VMR_9_4,
,,NONE,MAP,MO_100001_16,MO_4_e,
,,NONE,MAP,MO_100001_16,VMR_9_4,
,,NONE,MAP,MO_100001_17,MO_4_e,
,,NONE,MAP,MO_100001_17,VMR_9_4,
,,NONE,MAP,MO_100001_18,MO_4_e,
,,NONE,MAP,MO_100001_18,VMR_9_4,
,,NONE,MAP,MO_100001_19,MO_4_e,
,,NONE,MAP,MO_100001_19,VMR_9_4,
,,NONE,MAP,MO_100001_20,MO_4_e,
,,NONE,MAP,MO_100001_20,VMR_9_4,
,,NONE,MAP,MO_100001_21,MO_4_e,
,,NONE,MAP,MO_100001_21,VMR_9_4,
,,NONE,MAP,MO_100001_22,MO_4_e,
,,NONE,MAP,MO_100001_22,VMR_9_4,
,,NONE,MAP,MO_100001_23,MO_4_e,
,,NONE,MAP,MO_100001_23,VMR_9_4,
,,NONE,MAP,MO_100001_24,MO_4_e,
,,NONE,MAP,MO_100001_24,VMR_9_4,
,,NONE,MAP,MO_100001_25,MO_4_e,
,,NONE,MAP,MO_100001_25,VMR_9_4,
,,NONE,MAP,MO_100001_26,MO_4_e,
,,NONE,MAP,MO_100001_26,VMR_9_4,
,,NONE,MAP,MO_100001_27,MO_4_e,
,,NONE,MAP,MO_100001_27,VMR_9_4,
,,NONE,MAP,MO_100001_28,MO_4_e,
,,NONE,MAP,MO_100001_28,VMR_9_4,
,,NONE,MAP,MO_100001_29,MO_4_e,
,,NONE,MAP,MO_100001_29,VMR_9_4,
,,NONE,MAP,MO_100001_30,MO_4_e,
,,NONE,MAP,MO_100001_30,VMR_9_4,
,,NONE,MAP,MO_100001_31,MO_4_e,
,,NONE,MAP,MO_100001_31,VMR_9_4,
,,NONE,MAP,MO_100001_32,MO_4_e,
,,NONE,MAP,MO_100001_32,VMR_9_4,
,,NONE,MAP,MO_100001_33,MO_4_e,
,,NONE,MAP,MO_100001_33,VMR_9_4,
,,NONE,MAP,MO_100001_34,MO_4_e,
,,NONE,MAP,MO_100001_34,VMR_9_4,
,,NONE,MAP,MO_100001_35,MO_4_e,
,,NONE,MAP,MO_100001_35,VMR_9_4,
,,NONE,MAP,MO_100001_36,MO_4_e,
,,NONE,MAP,MO_100001_36,VMR_9_4,
,,NONE,MAP,MO_100001_37,MO_4_e,
,,NONE,MAP,MO_100001_37,VMR_9_4,
,,NONE,MAP,MO_100001_38,MO_4_e,
,,NONE,MAP,MO_100001_38,VMR_9_4,
,,NONE,MAP,MO_100001_39,MO_4_e,
,,NONE,MAP,MO_100001_39,VMR_9_4,
,,NONE,MAP,MO_100001_40,MO_4_e,
,,NONE,MAP,MO_100001_40,VMR_9_4,
,,NONE,MAP,MO_100001_41,MO_4_e,
,,NONE,MAP,MO_100001_41,VMR_9_4,
,,NONE,MAP,MO_100001_42,MO_4_e,
,,NONE,MAP,MO_100001_42,VMR_9_4,
,,NONE,MAP,MO_100001_43,MO_4_e,
,,NONE,MAP,MO_100001_43,VMR_9_4,
,,NONE,MAP,MO_100001_44,MO_4_e,
,,NONE,MAP,MO_100001_44,VMR_9_4,
,,NONE,MAP,MO_100001_45,MO_4_e,
,,NONE,MAP,MO_100001_45,VMR_9_4,
,,NONE,MAP,MO_100001_46,MO_4_e,
,,NONE,MAP,MO_100001_46,VMR_9_4,
,,NONE,MAP,MO_100001_47,MO_4_e,
,,NONE,MAP,MO_100001_47,VMR_9_4,
,,NONE,MAP,MO_100001_48,MO_4_e,
,,NONE,MAP,MO_100001_48,VMR_9_4,
,,NONE,MAP,MO_100001_49,MO_4_e,
,,NONE,MAP,MO_100001_49,VMR_9_4,
,,NONE,MAP,MO_100001_50,MO_4_e,
,,NONE,MAP,MO_100001_50,VMR_9_4,
,,NONE,MAP,MO_100001_51,MO_4_e,
,,NONE,MAP,MO_100001_51,VMR_9_4,
,,NONE,MAP,MO_100001_52,MO_4_e,
,,NONE,MAP,MO_100001_52,VMR_9_4,
,,NONE,MAP,MO_100001_53,MO_4_e,
,,NONE,MAP,MO_100001_53,VMR_9_4,
,,NONE,MAP,MO_100001_54,MO_4_e,
,,NONE,MAP,MO_100001_54,VMR_9_4,
