NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
PD,PD_0,ROOT_TASK,,,,
RESOURCE_SPACE,ADS_SPACE_7,ADS,,,,
RESOURCE_SPACE,MO_SPACE_4,MO,,,,
RESOURCE,VMR_7_1,VMR,,,,"{""va"": ""0x2f400000"", ""vmr_type"": ""STACK"", ""num_pages"": ""17"", ""page_size"": ""4096""}"
RESOURCE,MO_4_1,MO,,,,"{""pa"": ""0x0"", ""num_pages"": ""16"", ""page_size"": ""4096""}"
RESOURCE,VMR_7_2,VMR,,,,"{""va"": ""0x10000000"", ""vmr_type"": ""UNKNOWN"", ""num_pages"": ""128000"", ""page_size"": ""4096""}"
RESOURCE,MO_4_2,MO,,,,"{""pa"": ""0x0"", ""num_pages"": ""0"", ""page_size"": ""4096""}"
RESOURCE,VMR_7_3,VMR,,,,"{""va"": ""0x2f425000"", ""vmr_type"": ""GENERIC"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_4_3,MO,,,,"{""pa"": ""0x6f72e000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,VMR_7_6,VMR,,,,"{""va"": ""0x2f486000"", ""vmr_type"": ""GENERIC"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_4_8,MO,,,,"{""pa"": ""0x748eb000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,VMR_7_7,VMR,,,,"{""va"": ""0x2f487000"", ""vmr_type"": ""GENERIC"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_4_b,MO,,,,"{""pa"": ""0x748fe000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
PD,PD_1,GPIVM004,,,,
RESOURCE_SPACE,ADS_SPACE_8,ADS,,,,
RESOURCE,VMR_8_1,VMR,,,,"{""va"": ""0x400000"", ""vmr_type"": ""ELF_CODE"", ""num_pages"": ""558"", ""page_size"": ""4096""}"
