:START_ID,DATA,EXTRA,:END_ID,:TYPE
ADS_SPACE_7,NONE,,MO_SPACE_4,MAP
PD_0,NONE,,ADS_SPACE_7,HOLD
VMR_7_1,NONE,,ADS_SPACE_7,SUBSET
PD_0,NONE,,VMR_7_1,HOLD
VMR_7_1,NONE,,MO_4_1,MAP
VMR_7_2,NONE,,ADS_SPACE_7,SUBSET
PD_0,NONE,,VMR_7_2,HOLD
VMR_7_2,NONE,,MO_4_2,MAP
VMR_7_3,NONE,,ADS_SPACE_7,SUBSET
PD_0,NONE,,VMR_7_3,HOLD
VMR_7_3,NONE,,MO_4_3,MAP
VMR_7_6,NONE,,ADS_SPACE_7,SUBSET
PD_0,NONE,,VMR_7_6,HOLD
VMR_7_6,NONE,,MO_4_8,MAP
VMR_7_7,NONE,,ADS_SPACE_7,SUBSET
PD_0,NONE,,VMR_7_7,HOLD
VMR_7_7,NONE,,MO_4_b,MAP
PD_0,NONE,,MO_4_1,HOLD
MO_4_1,NONE,,MO_SPACE_4,SUBSET
PD_0,NONE,,MO_4_2,HOLD
MO_4_2,NONE,,MO_SPACE_4,SUBSET
PD_0,NONE,,MO_4_3,HOLD
MO_4_3,NONE,,MO_SPACE_4,SUBSET
PD_1,ADS,,PD_0,REQUEST
PD_1,VMR,,PD_0,REQUEST
PD_1,MO,,PD_0,REQUEST
PD_1,VCPU,,PD_0,REQUEST
PD_1,PD,,PD_0,REQUEST
PD_1,EP,,PD_0,REQUEST
PD_1,RESSPC,,PD_0,REQUEST
ADS_SPACE_8,NONE,,MO_SPACE_4,MAP
PD_0,NONE,,ADS_SPACE_8,HOLD
VMR_8_1,NONE,,ADS_SPACE_8,SUBSET
PD_1,NONE,,VMR_8_1,HOLD
VMR_8_1,NONE,,MO_4_4,MAP
VMR_8_2,NONE,,ADS_SPACE_8,SUBSET
PD_1,NONE,,VMR_8_2,HOLD
VMR_8_2,NONE,,MO_4_5,MAP
VMR_8_3,NONE,,ADS_SPACE_8,SUBSET
PD_1,NONE,,VMR_8_3,HOLD
VMR_8_3,NONE,,MO_4_3,MAP
VMR_8_4,NONE,,ADS_SPACE_8,SUBSET
PD_1,NONE,,VMR_8_4,HOLD
VMR_8_4,NONE,,MO_4_6,MAP
VMR_8_5,NONE,,ADS_SPACE_8,SUBSET
PD_1,NONE,,VMR_8_5,HOLD
VMR_8_5,NONE,,MO_4_7,MAP
VMR_8_6,NONE,,ADS_SPACE_8,SUBSET
PD_1,NONE,,VMR_8_6,HOLD
VMR_8_6,NONE,,MO_4_8,MAP
VMR_8_7,NONE,,ADS_SPACE_8,SUBSET
PD_1,NONE,,VMR_8_7,HOLD
VMR_8_7,NONE,,MO_4_9,MAP
VMR_8_8,NONE,,ADS_SPACE_8,SUBSET
PD_1,NONE,,VMR_8_8,HOLD
VMR_8_8,NONE,,MO_4_a,MAP
VMR_8_9,NONE,,ADS_SPACE_8,SUBSET
PD_1,NONE,,VMR_8_9,HOLD
VMR_8_9,NONE,,MO_4_c,MAP
PD_1,NONE,,ADS_SPACE_8,HOLD
PD_0,NONE,,VCPU_SPACE_5,HOLD
PD_1,NONE,,VCPU_5_1,HOLD
VCPU_5_1,NONE,,VCPU_SPACE_5,SUBSET
VCPU_5_1,NONE,,PCPU_1_0,MAP
PD_0,NONE,,PCPU_1_0,HOLD
