ID:ID,NODE_TYPE,DATA,EXTRA,:LABEL
VMR_7_1,RESOURCE,VMR,"{""va"": ""0x2f400000"", ""vmr_type"": ""STACK"", ""num_pages"": ""17"", ""page_size"": ""4096""}",RESOURCE
MO_4_1,RESOURCE,MO,"{""pa"": ""0x0"", ""num_pages"": ""16"", ""page_size"": ""4096""}",RESOURCE
VMR_7_2,RESOURCE,VMR,"{""va"": ""0x10000000"", ""vmr_type"": ""UNKNOWN"", ""num_pages"": ""128000"", ""page_size"": ""4096""}",RESOURCE
MO_4_2,RESOURCE,MO,"{""pa"": ""0x0"", ""num_pages"": ""0"", ""page_size"": ""4096""}",RESOURCE
VMR_7_3,RESOURCE,VMR,"{""va"": ""0x2f425000"", ""vmr_type"": ""GENERIC"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_4_3,RESOURCE,MO,"{""pa"": ""0x6f72e000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
VMR_7_6,RESOURCE,VMR,"{""va"": ""0x2f486000"", ""vmr_type"": ""GENERIC"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_4_8,RESOURCE,MO,"{""pa"": ""0x748eb000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
VMR_7_7,RESOURCE,VMR,"{""va"": ""0x2f487000"", ""vmr_type"": ""GENERIC"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_4_b,RESOURCE,MO,"{""pa"": ""0x748fe000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
VMR_8_1,RESOURCE,VMR,"{""va"": ""0x400000"", ""vmr_type"": ""ELF_CODE"", ""num_pages"": ""558"", ""page_size"": ""4096""}",RESOURCE
MO_4_4,RESOURCE,MO,"{""pa"": ""0x6f739000"", ""num_pages"": ""558"", ""page_size"": ""4096""}",RESOURCE
VMR_8_2,RESOURCE,VMR,"{""va"": ""0x62e000"", ""vmr_type"": ""ELF_DATA"", ""num_pages"": ""22503"", ""page_size"": ""4096""}",RESOURCE
MO_4_5,RESOURCE,MO,"{""pa"": ""0x7ff15000"", ""num_pages"": ""22503"", ""page_size"": ""4096""}",RESOURCE
VMR_8_3,RESOURCE,VMR,"{""va"": ""0x10000000"", ""vmr_type"": ""SHARED_FRAMES"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
VMR_8_4,RESOURCE,VMR,"{""va"": ""0x10001000"", ""vmr_type"": ""IPC_BUF"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_4_6,RESOURCE,MO,"{""pa"": ""0x74999000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
VMR_8_5,RESOURCE,VMR,"{""va"": ""0x10002000"", ""vmr_type"": ""STACK"", ""num_pages"": ""17"", ""page_size"": ""4096""}",RESOURCE
MO_4_7,RESOURCE,MO,"{""pa"": ""0x7499a000"", ""num_pages"": ""16"", ""page_size"": ""4096""}",RESOURCE
VMR_8_6,RESOURCE,VMR,"{""va"": ""0x10013000"", ""vmr_type"": ""OSM_DATA"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
VMR_8_7,RESOURCE,VMR,"{""va"": ""0x10014000"", ""vmr_type"": ""STACK"", ""num_pages"": ""17"", ""page_size"": ""4096""}",RESOURCE
MO_4_9,RESOURCE,MO,"{""pa"": ""0x748ec000"", ""num_pages"": ""16"", ""page_size"": ""4096""}",RESOURCE
VMR_8_8,RESOURCE,VMR,"{""va"": ""0x10025000"", ""vmr_type"": ""IPC_BUF"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_4_a,RESOURCE,MO,"{""pa"": ""0x748fd000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
VMR_8_9,RESOURCE,VMR,"{""va"": ""0x10200000"", ""vmr_type"": ""GENERIC"", ""num_pages"": ""256"", ""page_size"": ""2097152""}",RESOURCE
MO_4_c,RESOURCE,MO,"{""pa"": ""0x40000000"", ""num_pages"": ""256"", ""page_size"": ""2097152""}",RESOURCE
VCPU_5_1,RESOURCE,VCPU,,RESOURCE
PCPU_1_0,RESOURCE,PCPU,,RESOURCE
VCPU_5_2,RESOURCE,VCPU,,RESOURCE
VCPU_5_3,RESOURCE,VCPU,"{""elevate"": ""true""}",RESOURCE
VMR_9_1,RESOURCE,VMR,"{""va"": ""0x10000000"", ""vmr_type"": ""OSM_DATA"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
VMR_9_2,RESOURCE,VMR,"{""va"": ""0x9000000"", ""vmr_type"": ""GENERIC"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_4_d,RESOURCE,MO,"{""pa"": ""0x9000000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
VMR_9_3,RESOURCE,VMR,"{""va"": ""0x8010000"", ""vmr_type"": ""DEVICE"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_4_e,RESOURCE,MO,"{""pa"": ""0x8040000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
VMR_9_4,RESOURCE,VMR,"{""va"": ""0x40000000"", ""vmr_type"": ""GENERIC"", ""num_pages"": ""256"", ""page_size"": ""2097152""}",RESOURCE
