NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
PD,PD_10001,Guest Linux,,,,
RESOURCE_SPACE,MO_SPACE_10001,MO,,,,
RESOURCE,MO_10001_1,MO,,,,"{""pa"": ""0x40f8a000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_2,MO,,,,"{""pa"": ""0x42300000"", ""num_pages"": ""18"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_3,MO,,,,"{""pa"": ""0x42332000"", ""num_pages"": ""32"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_4,MO,,,,"{""pa"": ""0x42372000"", ""num_pages"": ""48"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_5,MO,,,,"{""pa"": ""0x4d04a000"", ""num_pages"": ""37"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_6,MO,,,,"{""pa"": ""0x4d084000"", ""num_pages"": ""124"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_7,MO,,,,"{""pa"": ""0x4d698000"", ""num_pages"": ""2"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_8,MO,,,,"{""pa"": ""0x50a7d000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_9,MO,,,,"{""pa"": ""0x50a7f000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_10,MO,,,,"{""pa"": ""0x50a80000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_11,MO,,,,"{""pa"": ""0x50a81000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_12,MO,,,,"{""pa"": ""0x50a82000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_13,MO,,,,"{""pa"": ""0x50a83000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_14,MO,,,,"{""pa"": ""0x50a84000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_15,MO,,,,"{""pa"": ""0x50a85000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_16,MO,,,,"{""pa"": ""0x50a86000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_17,MO,,,,"{""pa"": ""0x50a87000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_18,MO,,,,"{""pa"": ""0x50a88000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_19,MO,,,,"{""pa"": ""0x50a89000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_20,MO,,,,"{""pa"": ""0x50a8a000"", ""num_pages"": ""3"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_21,MO,,,,"{""pa"": ""0x50a8d000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_22,MO,,,,"{""pa"": ""0x50a8e000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_23,MO,,,,"{""pa"": ""0x50a8f000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_24,MO,,,,"{""pa"": ""0x50a90000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_25,MO,,,,"{""pa"": ""0x50a91000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_10001_26,MO,,,,"{""pa"": ""0x50a92000"", ""num_pages"": ""2"", ""page_size"": ""4096""}"
PD,PD_10002,kv_app_in_vm,,,,
RESOURCE_SPACE,VMR_SPACE_10002,VMR,,,,
RESOURCE,VMR_10002_1,VMR,,,,"{""va"": ""0xaaaab7587000"", ""vmr_type"": ""PROGRAM"", ""num_pages"": ""2"", ""page_size"": ""4096""}"
RESOURCE,VMR_10002_2,VMR,,,,"{""va"": ""0xaaaab7589000"", ""vmr_type"": ""PROGRAM"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,VMR_10002_3,VMR,,,,"{""va"": ""0xaaaab758a000"", ""vmr_type"": ""PROGRAM"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,VMR_10002_4,VMR,,,,"{""va"": ""0xaaaad771b000"", ""vmr_type"": ""HEAP"", ""num_pages"": ""33"", ""page_size"": ""4096""}"
RESOURCE,VMR_10002_5,VMR,,,,"{""va"": ""0xffffb4731000"", ""vmr_type"": ""DEV"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,VMR_10002_6,VMR,,,,"{""va"": ""0xffffb4732000"", ""vmr_type"": ""LIB"", ""num_pages"": ""333"", ""page_size"": ""4096""}"
RESOURCE,VMR_10002_7,VMR,,,,"{""va"": ""0xffffb487f000"", ""vmr_type"": ""LIB"", ""num_pages"": ""4"", ""page_size"": ""4096""}"
RESOURCE,VMR_10002_8,VMR,,,,"{""va"": ""0xffffb4883000"", ""vmr_type"": ""LIB"", ""num_pages"": ""2"", ""page_size"": ""4096""}"
RESOURCE,VMR_10002_9,VMR,,,,"{""va"": ""0xffffb4885000"", ""vmr_type"": ""NONE"", ""num_pages"": ""14"", ""page_size"": ""4096""}"
RESOURCE,VMR_10002_10,VMR,,,,"{""va"": ""0xffffb4893000"", ""vmr_type"": ""VVAR"", ""num_pages"": ""2"", ""page_size"": ""4096""}"
RESOURCE,VMR_10002_11,VMR,,,,"{""va"": ""0xffffb4895000"", ""vmr_type"": ""VDSO"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,VMR_10002_12,VMR,,,,"{""va"": ""0xffffb4896000"", ""vmr_type"": ""LIB"", ""num_pages"": ""37"", ""page_size"": ""4096""}"
