:START_ID,DATA,EXTRA,:END_ID,:TYPE
MO_10001_1,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_1,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_2,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_2,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_3,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_3,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_4,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_4,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_5,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_5,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_6,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_6,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_7,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_7,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_8,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_8,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_9,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_9,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_10,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_10,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_11,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_11,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_12,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_12,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_13,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_13,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_14,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_14,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_15,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_15,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_16,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_16,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_17,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_17,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_18,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_18,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_19,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_19,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_20,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_20,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_21,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_21,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_22,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_22,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_23,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_23,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_24,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_24,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_25,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_25,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_26,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_26,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
MO_10001_27,NONE,"{""pd_incharge"": ""VMM PD""}",MO_4_24,MAP
MO_10001_27,NONE,"{""pd_incharge"": ""VMM PD""}",VMR_f_4,MAP
