:START_ID,DATA,EXTRA,:END_ID,:TYPE
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_SPACE_10001,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_1,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_2,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_3,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_4,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_5,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_6,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_7,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_8,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_9,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_10,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_11,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_12,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_13,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_14,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_15,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_16,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_17,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_18,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_19,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_20,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_21,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_22,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_23,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_24,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_25,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_26,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",MO_10001_27,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",VMR_SPACE_10002,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",VMR_10002_1,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",VMR_10002_2,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",VMR_10002_3,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",VMR_10002_4,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",VMR_10002_5,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",VMR_10002_6,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",VMR_10002_7,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",VMR_10002_8,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",VMR_10002_9,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",VMR_10002_10,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",VMR_10002_11,HOLD
PD_10001,RWX,"{""pd_incharge"": ""Guest Linux""}",VMR_10002_12,HOLD
