ID:ID,NODE_TYPE,DATA,EXTRA,:LABEL
MO_10001_1,RESOURCE,MO,"{""pa"": ""0x40f8a000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_10001_2,RESOURCE,MO,"{""pa"": ""0x42300000"", ""num_pages"": ""20"", ""page_size"": ""4096""}",RESOURCE
MO_10001_3,RESOURCE,MO,"{""pa"": ""0x42334000"", ""num_pages"": ""32"", ""page_size"": ""4096""}",RESOURCE
MO_10001_4,RESOURCE,MO,"{""pa"": ""0x42374000"", ""num_pages"": ""16"", ""page_size"": ""4096""}",RESOURCE
MO_10001_5,RESOURCE,MO,"{""pa"": ""0x42394000"", ""num_pages"": ""16"", ""page_size"": ""4096""}",RESOURCE
MO_10001_6,RESOURCE,MO,"{""pa"": ""0x4d04a000"", ""num_pages"": ""37"", ""page_size"": ""4096""}",RESOURCE
MO_10001_7,RESOURCE,MO,"{""pa"": ""0x4d084000"", ""num_pages"": ""124"", ""page_size"": ""4096""}",RESOURCE
MO_10001_8,RESOURCE,MO,"{""pa"": ""0x4d698000"", ""num_pages"": ""2"", ""page_size"": ""4096""}",RESOURCE
MO_10001_9,RESOURCE,MO,"{""pa"": ""0x50a7e000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_10001_10,RESOURCE,MO,"{""pa"": ""0x50a80000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_10001_11,RESOURCE,MO,"{""pa"": ""0x50a81000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_10001_12,RESOURCE,MO,"{""pa"": ""0x50a82000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_10001_13,RESOURCE,MO,"{""pa"": ""0x50a83000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_10001_14,RESOURCE,MO,"{""pa"": ""0x50a84000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_10001_15,RESOURCE,MO,"{""pa"": ""0x50a85000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_10001_16,RESOURCE,MO,"{""pa"": ""0x50a86000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_10001_17,RESOURCE,MO,"{""pa"": ""0x50a87000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_10001_18,RESOURCE,MO,"{""pa"": ""0x50a88000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_10001_19,RESOURCE,MO,"{""pa"": ""0x50a89000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_10001_20,RESOURCE,MO,"{""pa"": ""0x50a8a000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_10001_21,RESOURCE,MO,"{""pa"": ""0x50a8b000"", ""num_pages"": ""3"", ""page_size"": ""4096""}",RESOURCE
MO_10001_22,RESOURCE,MO,"{""pa"": ""0x50a8e000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_10001_23,RESOURCE,MO,"{""pa"": ""0x50a8f000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_10001_24,RESOURCE,MO,"{""pa"": ""0x50a90000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_10001_25,RESOURCE,MO,"{""pa"": ""0x50a91000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_10001_26,RESOURCE,MO,"{""pa"": ""0x50a92000"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
MO_10001_27,RESOURCE,MO,"{""pa"": ""0x50a93000"", ""num_pages"": ""2"", ""page_size"": ""4096""}",RESOURCE
VMR_10002_1,RESOURCE,VMR,"{""va"": ""0xaaaadc6d5000"", ""vmr_type"": ""PROGRAM"", ""num_pages"": ""2"", ""page_size"": ""4096""}",RESOURCE
VMR_10002_2,RESOURCE,VMR,"{""va"": ""0xaaaadc6d7000"", ""vmr_type"": ""PROGRAM"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
VMR_10002_3,RESOURCE,VMR,"{""va"": ""0xaaaadc6d8000"", ""vmr_type"": ""PROGRAM"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
VMR_10002_4,RESOURCE,VMR,"{""va"": ""0xaaaafc48d000"", ""vmr_type"": ""HEAP"", ""num_pages"": ""33"", ""page_size"": ""4096""}",RESOURCE
VMR_10002_5,RESOURCE,VMR,"{""va"": ""0xffffbb05f000"", ""vmr_type"": ""DEV"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
VMR_10002_6,RESOURCE,VMR,"{""va"": ""0xffffbb060000"", ""vmr_type"": ""LIB"", ""num_pages"": ""333"", ""page_size"": ""4096""}",RESOURCE
VMR_10002_7,RESOURCE,VMR,"{""va"": ""0xffffbb1ad000"", ""vmr_type"": ""LIB"", ""num_pages"": ""4"", ""page_size"": ""4096""}",RESOURCE
VMR_10002_8,RESOURCE,VMR,"{""va"": ""0xffffbb1b1000"", ""vmr_type"": ""LIB"", ""num_pages"": ""2"", ""page_size"": ""4096""}",RESOURCE
VMR_10002_9,RESOURCE,VMR,"{""va"": ""0xffffbb1b3000"", ""vmr_type"": ""NONE"", ""num_pages"": ""14"", ""page_size"": ""4096""}",RESOURCE
VMR_10002_10,RESOURCE,VMR,"{""va"": ""0xffffbb1c1000"", ""vmr_type"": ""VVAR"", ""num_pages"": ""2"", ""page_size"": ""4096""}",RESOURCE
VMR_10002_11,RESOURCE,VMR,"{""va"": ""0xffffbb1c3000"", ""vmr_type"": ""VDSO"", ""num_pages"": ""1"", ""page_size"": ""4096""}",RESOURCE
VMR_10002_12,RESOURCE,VMR,"{""va"": ""0xffffbb1c4000"", ""vmr_type"": ""LIB"", ""num_pages"": ""37"", ""page_size"": ""4096""}",RESOURCE
VMR_10002_13,RESOURCE,VMR,"{""va"": ""0xffffbb1e9000"", ""vmr_type"": ""LIB"", ""num_pages"": ""2"", ""page_size"": ""4096""}",RESOURCE
VMR_10002_14,RESOURCE,VMR,"{""va"": ""0xffffbb1eb000"", ""vmr_type"": ""LIB"", ""num_pages"": ""2"", ""page_size"": ""4096""}",RESOURCE
VMR_10002_15,RESOURCE,VMR,"{""va"": ""0xffffd475c000"", ""vmr_type"": ""STACK"", ""num_pages"": ""33"", ""page_size"": ""4096""}",RESOURCE
