:START_ID,DATA,EXTRA,:END_ID,:TYPE
ADS_SPACE_7,NONE,"{""pd_incharge"": ""PD_0""}",MO_SPACE_4,MAP
PD_0,NONE,"{""pd_incharge"": ""PD_0""}",ADS_SPACE_7,HOLD
VMR_7_1,NONE,"{""pd_incharge"": ""PD_0""}",ADS_SPACE_7,SUBSET
PD_0,NONE,"{""pd_incharge"": ""PD_0""}",VMR_7_1,HOLD
VMR_7_1,NONE,"{""pd_incharge"": ""PD_0""}",MO_4_1,MAP
VMR_7_2,NONE,"{""pd_incharge"": ""PD_0""}",ADS_SPACE_7,SUBSET
PD_0,NONE,"{""pd_incharge"": ""PD_0""}",VMR_7_2,HOLD
VMR_7_2,NONE,"{""pd_incharge"": ""PD_0""}",MO_4_2,MAP
VMR_7_3,NONE,"{""pd_incharge"": ""PD_0""}",ADS_SPACE_7,SUBSET
PD_0,NONE,"{""pd_incharge"": ""PD_0""}",VMR_7_3,HOLD
VMR_7_3,NONE,"{""pd_incharge"": ""PD_0""}",MO_4_3,MAP
VMR_7_6,NONE,"{""pd_incharge"": ""PD_0""}",ADS_SPACE_7,SUBSET
PD_0,NONE,"{""pd_incharge"": ""PD_0""}",VMR_7_6,HOLD
VMR_7_6,NONE,"{""pd_incharge"": ""PD_0""}",MO_4_8,MAP
PD_0,NONE,"{""pd_incharge"": ""PD_0""}",MO_4_1,HOLD
MO_4_1,NONE,"{""pd_incharge"": ""PD_0""}",MO_SPACE_4,SUBSET
PD_0,NONE,"{""pd_incharge"": ""PD_0""}",MO_4_2,HOLD
MO_4_2,NONE,"{""pd_incharge"": ""PD_0""}",MO_SPACE_4,SUBSET
PD_0,NONE,"{""pd_incharge"": ""PD_0""}",MO_4_3,HOLD
MO_4_3,NONE,"{""pd_incharge"": ""PD_0""}",MO_SPACE_4,SUBSET
PD_1,ADS,"{""pd_incharge"": ""PD_0""}",PD_0,REQUEST
PD_1,VMR,"{""pd_incharge"": ""PD_0""}",PD_0,REQUEST
PD_1,MO,"{""pd_incharge"": ""PD_0""}",PD_0,REQUEST
PD_1,VCPU,"{""pd_incharge"": ""PD_0""}",PD_0,REQUEST
PD_1,PD,"{""pd_incharge"": ""PD_0""}",PD_0,REQUEST
PD_1,EP,"{""pd_incharge"": ""PD_0""}",PD_0,REQUEST
PD_1,RESSPC,"{""pd_incharge"": ""PD_0""}",PD_0,REQUEST
ADS_SPACE_8,NONE,"{""pd_incharge"": ""PD_0""}",MO_SPACE_4,MAP
PD_0,NONE,"{""pd_incharge"": ""PD_0""}",ADS_SPACE_8,HOLD
VMR_8_1,NONE,"{""pd_incharge"": ""PD_0""}",ADS_SPACE_8,SUBSET
PD_1,NONE,"{""pd_incharge"": ""PD_0""}",VMR_8_1,HOLD
VMR_8_1,NONE,"{""pd_incharge"": ""PD_0""}",MO_4_4,MAP
VMR_8_2,NONE,"{""pd_incharge"": ""PD_0""}",ADS_SPACE_8,SUBSET
PD_1,NONE,"{""pd_incharge"": ""PD_0""}",VMR_8_2,HOLD
VMR_8_2,NONE,"{""pd_incharge"": ""PD_0""}",MO_4_5,MAP
VMR_8_3,NONE,"{""pd_incharge"": ""PD_0""}",ADS_SPACE_8,SUBSET
PD_1,NONE,"{""pd_incharge"": ""PD_0""}",VMR_8_3,HOLD
VMR_8_3,NONE,"{""pd_incharge"": ""PD_0""}",MO_4_3,MAP
VMR_8_4,NONE,"{""pd_incharge"": ""PD_0""}",ADS_SPACE_8,SUBSET
PD_1,NONE,"{""pd_incharge"": ""PD_0""}",VMR_8_4,HOLD
VMR_8_4,NONE,"{""pd_incharge"": ""PD_0""}",MO_4_6,MAP
VMR_8_5,NONE,"{""pd_incharge"": ""PD_0""}",ADS_SPACE_8,SUBSET
PD_1,NONE,"{""pd_incharge"": ""PD_0""}",VMR_8_5,HOLD
