ID:ID,NODE_TYPE,DATA,EXTRA,:LABEL
ADS_SPACE_7,RESOURCE_SPACE,ADS,,RESOURCE_SPACE
MO_SPACE_4,RESOURCE_SPACE,MO,,RESOURCE_SPACE
ADS_SPACE_8,RESOURCE_SPACE,ADS,,RESOURCE_SPACE
VCPU_SPACE_5,RESOURCE_SPACE,VCPU,,RESOURCE_SPACE
ADS_SPACE_9,RESOURCE_SPACE,ADS,,RESOURCE_SPACE
BLOCK_SPACE_a,RESOURCE_SPACE,BLOCK,,RESOURCE_SPACE
ADS_SPACE_b,RESOURCE_SPACE,ADS,,RESOURCE_SPACE
FILE_SPACE_c,RESOURCE_SPACE,FILE,,RESOURCE_SPACE
FILE_SPACE_d,RESOURCE_SPACE,FILE,,RESOURCE_SPACE
FILE_SPACE_e,RESOURCE_SPACE,FILE,,RESOURCE_SPACE
ADS_SPACE_f,RESOURCE_SPACE,ADS,,RESOURCE_SPACE
KVSTORE_SPACE_10,RESOURCE_SPACE,KVSTORE,,RESOURCE_SPACE
ADS_SPACE_11,RESOURCE_SPACE,ADS,,RESOURCE_SPACE
