NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
PD,PD_100001,Kernel,,,,
RESOURCE_SPACE,MO_SPACE_100001,MO,,,,
RESOURCE,MO_100001_1,MO,,,,"{""pa"": ""0x40f8a000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_100001_2,MO,,,,"{""pa"": ""0x42300000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_100001_3,MO,,,,"{""pa"": ""0x42301000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_100001_4,MO,,,,"{""pa"": ""0x42302000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_100001_5,MO,,,,"{""pa"": ""0x42303000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_100001_6,MO,,,,"{""pa"": ""0x42304000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_100001_7,MO,,,,"{""pa"": ""0x42305000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_100001_8,MO,,,,"{""pa"": ""0x42306000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_100001_9,MO,,,,"{""pa"": ""0x42307000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_100001_10,MO,,,,"{""pa"": ""0x42308000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_100001_11,MO,,,,"{""pa"": ""0x42309000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_100001_12,MO,,,,"{""pa"": ""0x4230a000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_100001_13,MO,,,,"{""pa"": ""0x4230b000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_100001_14,MO,,,,"{""pa"": ""0x4230c000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_100001_15,MO,,,,"{""pa"": ""0x4230d000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_100001_16,MO,,,,"{""pa"": ""0x4230e000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_100001_17,MO,,,,"{""pa"": ""0x4230f000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_100001_18,MO,,,,"{""pa"": ""0x42310000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_100001_19,MO,,,,"{""pa"": ""0x42311000"", ""num_pages"": 1, ""page_size"": 4096}"
