NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
PD,PD_0,ROOT_TASK,,,,
RESOURCE_SPACE,ADS_SPACE_7,ADS,,,,
RESOURCE_SPACE,MO_SPACE_4,MO,,,,
RESOURCE,VMR_7_1,VMR,,,,{"va": "foobar"}
RESOURCE,MO_4_1,MO,,,,0x0_16_12
RESOURCE,VMR_7_2,VMR,,,,{"va": "foobar"}
RESOURCE,MO_4_2,MO,,,,0x0_0_12
RESOURCE,VMR_7_3,VMR,,,,{"va": "foobar"}
RESOURCE,MO_4_3,MO,,,,0x6f70e000_1_12
RESOURCE,VMR_7_6,VMR,,,,{"va": "foobar"}
RESOURCE,MO_4_8,MO,,,,0x748b2000_1_12
RESOURCE,VMR_7_7,VMR,,,,{"va": "foobar"}
RESOURCE,MO_4_b,MO,,,,0x74865000_1_12
PD,PD_1,GPIVM004,,,,
RESOURCE_SPACE,ADS_SPACE_8,ADS,,,,
RESOURCE,VMR_8_1,VMR,,,,{"va": "foobar"}
RESOURCE,MO_4_4,MO,,,,0x6f717000_557_12
RESOURCE,VMR_8_2,VMR,,,,{"va": "foobar"}
RESOURCE,MO_4_5,MO,,,,0x7fef2000_22483_12
RESOURCE,VMR_8_3,VMR,,,,{"va": "foobar"}
RESOURCE,VMR_8_4,VMR,,,,{"va": "foobar"}
RESOURCE,MO_4_6,MO,,,,0x7495f000_1_12
RESOURCE,VMR_8_5,VMR,,,,{"va": "foobar"}
RESOURCE,MO_4_7,MO,,,,0x748a0000_16_12
RESOURCE,VMR_8_6,VMR,,,,{"va": "foobar"}
RESOURCE,VMR_8_7,VMR,,,,{"va": "foobar"}
RESOURCE,MO_4_9,MO,,,,0x748b3000_16_12
RESOURCE,VMR_8_8,VMR,,,,{"va": "foobar"}
RESOURCE,MO_4_a,MO,,,,0x74864000_1_12
RESOURCE,VMR_8_9,VMR,,,,{"va": "foobar"}
