:START_ID,DATA,EXTRA,:END_ID,:TYPE
PD_0,"{'perms': 'RWX', 'pds': [['PD_0']]}",,MO_SPACE_1,HOLD
PD_0,"{'perms': 'RWX', 'pds': [['PD_0']]}",,PCPU_SPACE_2,HOLD
PD_0,"{'perms': 'RWX', 'pds': [['PD_0']]}",,VMR_SPACE_3,HOLD
PD_0,"{'perms': 'RWX', 'pds': [['PD_0']]}",,VCPU_SPACE_4,HOLD
PD_1,VMR,,PD_0,REQUEST
PD_1,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",,VMR_3_1,HOLD
PD_1,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",,VMR_3_3,HOLD
PD_1,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",,VMR_3_4,HOLD
PD_1,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",,VCPU_4_1,HOLD
PD_2,VMR,,PD_0,REQUEST
PD_2,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",,VMR_3_2,HOLD
PD_2,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",,VMR_3_3,HOLD
PD_2,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",,VMR_3_4,HOLD
PD_2,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",,VCPU_4_2,HOLD
VMR_SPACE_3,{'pds': [['PD_0']]},,MO_SPACE_1,MAP
VMR_3_1,NONE,,VMR_SPACE_3,SUBSET
VMR_3_1,{'pds': [['PD_0']]},,MO_1_1,MAP
MO_1_1,NONE,,MO_SPACE_1,SUBSET
VMR_3_2,NONE,,VMR_SPACE_3,SUBSET
VMR_3_2,{'pds': [['PD_0']]},,MO_1_2,MAP
MO_1_2,NONE,,MO_SPACE_1,SUBSET
VMR_3_3,NONE,,VMR_SPACE_3,SUBSET
VMR_3_3,{'pds': [['PD_0']]},,MO_1_3,MAP
VMR_3_3,{'pds': [['PD_0']]},,MO_1_3,MAP
MO_1_3,NONE,,MO_SPACE_1,SUBSET
VMR_3_4,NONE,,VMR_SPACE_3,SUBSET
VMR_3_4,{'pds': [['PD_0']]},,MO_1_4,MAP
VMR_3_4,{'pds': [['PD_0']]},,MO_1_4,MAP
MO_1_4,NONE,,MO_SPACE_1,SUBSET
VCPU_SPACE_4,{'pds': [['PD_0']]},,PCPU_SPACE_2,MAP
VCPU_4_1,NONE,,VCPU_SPACE_4,SUBSET
VCPU_4_1,{'pds': [['PD_0']]},,PCPU_2_1,MAP
PCPU_2_1,NONE,,PCPU_SPACE_2,SUBSET
VCPU_4_2,NONE,,VCPU_SPACE_4,SUBSET
VCPU_4_2,{'pds': [['PD_0']]},,PCPU_2_2,MAP
PCPU_2_2,NONE,,PCPU_SPACE_2,SUBSET
