NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
PD,PD_0,Kernel,,,,
RESOURCE_SPACE,MO_SPACE_1,MO,,,,
RESOURCE_SPACE,PCPU_SPACE_2,PCPU,,,,
PD,PD_1,P1_L1,,,,
PD,PD_2,P1_L2,,,,
RESOURCE_SPACE,VMR_SPACE_3,VMR,,,,
RESOURCE_SPACE,VMR_SPACE_4,VMR,,,,
RESOURCE,VMR_3_1,VMR,,,,"{""vmr_type"": ""stack""}"
RESOURCE,VMR_4_1,VMR,,,,"{""vmr_type"": ""stack""}"
RESOURCE,MO_1_1,MO,,,,
RESOURCE,MO_1_2,MO,,,,
RESOURCE,VMR_3_2,VMR,,,,"{""vmr_type"": ""heap""}"
RESOURCE,VMR_4_2,VMR,,,,"{""vmr_type"": ""heap""}"
RESOURCE,MO_1_3,MO,,,,
RESOURCE,MO_1_4,MO,,,,
RESOURCE,VMR_3_3,VMR,,,,"{""vmr_type"": ""other""}"
RESOURCE,VMR_4_3,VMR,,,,"{""vmr_type"": ""other""}"
RESOURCE,MO_1_5,MO,,,,
RESOURCE,VMR_3_4,VMR,,,,"{""vmr_type"": ""code""}"
RESOURCE,VMR_4_4,VMR,,,,"{""vmr_type"": ""code""}"
RESOURCE,MO_1_6,MO,,,,
RESOURCE,VMR_3_5,VMR,,,,"{""vmr_type"": ""heap""}"
RESOURCE,VMR_4_5,VMR,,,,"{""vmr_type"": ""heap""}"
RESOURCE,MO_1_7,MO,,,,
RESOURCE_SPACE,VCPU_SPACE_5,VCPU,,,,
RESOURCE,VCPU_5_1,VCPU,,,,
RESOURCE,PCPU_2_1,PCPU,,,,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,MO_SPACE_1,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,PCPU_SPACE_2,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,VMR_SPACE_3,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,VMR_SPACE_4,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,VCPU_SPACE_5,
,,VMR,REQUEST,PD_1,PD_0,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_1,VMR_3_1,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_1,VMR_3_2,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_1,VMR_3_3,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_1,VMR_3_4,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_1,VMR_3_5,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_1,VCPU_5_1,
,,VMR,REQUEST,PD_2,PD_0,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_2,VMR_4_1,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_2,VMR_4_2,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_2,VMR_4_3,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_2,VMR_4_4,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_2,VMR_4_5,
,,{'pds': [['PD_0']]},MAP,VMR_SPACE_3,MO_SPACE_1,
,,{'pds': [['PD_0']]},MAP,VMR_SPACE_4,MO_SPACE_1,
,,NONE,SUBSET,VMR_3_1,VMR_SPACE_3,
,,{'pds': [['PD_0']]},MAP,VMR_3_1,MO_1_1,
,,NONE,SUBSET,VMR_4_1,VMR_SPACE_4,
,,{'pds': [['PD_0']]},MAP,VMR_4_1,MO_1_2,
,,NONE,SUBSET,MO_1_1,MO_SPACE_1,
,,NONE,SUBSET,MO_1_2,MO_SPACE_1,
,,NONE,SUBSET,VMR_3_2,VMR_SPACE_3,
,,{'pds': [['PD_0']]},MAP,VMR_3_2,MO_1_3,
,,NONE,SUBSET,VMR_4_2,VMR_SPACE_4,
,,{'pds': [['PD_0']]},MAP,VMR_4_2,MO_1_4,
,,NONE,SUBSET,MO_1_3,MO_SPACE_1,
