ID:ID,NODE_TYPE,DATA,EXTRA,:LABEL
VMR_3_1,RESOURCE,VMR,"{""vmr_type"": ""stack""}",RESOURCE
VMR_4_1,RESOURCE,VMR,"{""vmr_type"": ""stack""}",RESOURCE
MO_1_1,RESOURCE,MO,,RESOURCE
MO_1_2,RESOURCE,MO,,RESOURCE
VMR_3_2,RESOURCE,VMR,"{""vmr_type"": ""heap""}",RESOURCE
VMR_4_2,RESOURCE,VMR,"{""vmr_type"": ""heap""}",RESOURCE
MO_1_3,RESOURCE,MO,,RESOURCE
MO_1_4,RESOURCE,MO,,RESOURCE
VMR_3_3,RESOURCE,VMR,"{""vmr_type"": ""other""}",RESOURCE
VMR_4_3,RESOURCE,VMR,"{""vmr_type"": ""other""}",RESOURCE
MO_1_5,RESOURCE,MO,,RESOURCE
VMR_3_4,RESOURCE,VMR,"{""vmr_type"": ""code""}",RESOURCE
VMR_4_4,RESOURCE,VMR,"{""vmr_type"": ""code""}",RESOURCE
MO_1_6,RESOURCE,MO,,RESOURCE
VMR_3_5,RESOURCE,VMR,"{""vmr_type"": ""heap""}",RESOURCE
VMR_4_5,RESOURCE,VMR,"{""vmr_type"": ""heap""}",RESOURCE
MO_1_7,RESOURCE,MO,,RESOURCE
VCPU_5_1,RESOURCE,VCPU,,RESOURCE
PCPU_2_1,RESOURCE,PCPU,,RESOURCE
