NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
PD,PD_0,Kernel,,,,
RESOURCE_SPACE,MO_SPACE_1,MO,,,,
RESOURCE_SPACE,PCPU_SPACE_2,PCPU,,,,
PD,PD_1,P1_T1,,,,
PD,PD_2,P1_T2,,,,
RESOURCE_SPACE,VMR_SPACE_3,VMR,,,,
RESOURCE,VMR_3_1,VMR,,,,"{""vmr_type"": ""stack""}"
RESOURCE,MO_1_1,MO,,,,
RESOURCE,VMR_3_2,VMR,,,,"{""vmr_type"": ""stack""}"
RESOURCE,MO_1_2,MO,,,,
RESOURCE,VMR_3_3,VMR,,,,"{""vmr_type"": ""code""}"
RESOURCE,MO_1_3,MO,,,,
RESOURCE,VMR_3_4,VMR,,,,"{""vmr_type"": ""heap""}"
RESOURCE,MO_1_4,MO,,,,
RESOURCE_SPACE,VCPU_SPACE_4,VCPU,,,,
RESOURCE,VCPU_4_1,VCPU,,,,
RESOURCE,PCPU_2_1,PCPU,,,,
RESOURCE,VCPU_4_2,VCPU,,,,
RESOURCE,PCPU_2_2,PCPU,,,,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,MO_SPACE_1,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,PCPU_SPACE_2,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,VMR_SPACE_3,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,VCPU_SPACE_4,
,,VMR,REQUEST,PD_1,PD_0,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_1,VMR_3_1,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_1,VMR_3_3,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_1,VMR_3_4,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_1,VCPU_4_1,
,,VMR,REQUEST,PD_2,PD_0,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_2,VMR_3_2,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_2,VMR_3_3,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_2,VMR_3_4,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_2,VCPU_4_2,
,,{'pds': [['PD_0']]},MAP,VMR_SPACE_3,MO_SPACE_1,
,,NONE,SUBSET,VMR_3_1,VMR_SPACE_3,
,,{'pds': [['PD_0']]},MAP,VMR_3_1,MO_1_1,
,,NONE,SUBSET,MO_1_1,MO_SPACE_1,
,,NONE,SUBSET,VMR_3_2,VMR_SPACE_3,
,,{'pds': [['PD_0']]},MAP,VMR_3_2,MO_1_2,
,,NONE,SUBSET,MO_1_2,MO_SPACE_1,
,,NONE,SUBSET,VMR_3_3,VMR_SPACE_3,
,,{'pds': [['PD_0']]},MAP,VMR_3_3,MO_1_3,
,,{'pds': [['PD_0']]},MAP,VMR_3_3,MO_1_3,
,,NONE,SUBSET,MO_1_3,MO_SPACE_1,
,,NONE,SUBSET,VMR_3_4,VMR_SPACE_3,
,,{'pds': [['PD_0']]},MAP,VMR_3_4,MO_1_4,
,,{'pds': [['PD_0']]},MAP,VMR_3_4,MO_1_4,
,,NONE,SUBSET,MO_1_4,MO_SPACE_1,
,,{'pds': [['PD_0']]},MAP,VCPU_SPACE_4,PCPU_SPACE_2,
,,NONE,SUBSET,VCPU_4_1,VCPU_SPACE_4,
,,{'pds': [['PD_0']]},MAP,VCPU_4_1,PCPU_2_1,
,,NONE,SUBSET,PCPU_2_1,PCPU_SPACE_2,
,,NONE,SUBSET,VCPU_4_2,VCPU_SPACE_4,
,,{'pds': [['PD_0']]},MAP,VCPU_4_2,PCPU_2_2,
,,NONE,SUBSET,PCPU_2_2,PCPU_SPACE_2,
