NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
PD,PD_0,Kernel,,,,
PD,PD_1,P1,,,,
RESOURCE_SPACE,VMR_SPACE_1,VMR,,,,
RESOURCE_SPACE,MO_SPACE_2,MO,,,,
RESOURCE_SPACE,VCPU_SPACE_3,VCPU,,,,
RESOURCE_SPACE,PCPU_SPACE_4,PCPU,,,,
RESOURCE,VMR_1_1,VMR,,,,"{""vmr_type"": ""stack""}"
RESOURCE,MO_2_1,MO,,,,
RESOURCE,VMR_1_2,VMR,,,,"{""vmr_type"": ""code""}"
RESOURCE,MO_2_2,MO,,,,
RESOURCE,VMR_1_3,VMR,,,,"{""vmr_type"": ""heap""}"
RESOURCE,MO_2_3,MO,,,,
RESOURCE,VCPU_3_1,VCPU,,,,
RESOURCE,PCPU_4_1,PCPU,,,,
PD,PD_2,P2,,,,
RESOURCE_SPACE,VMR_SPACE_5,VMR,,,,
RESOURCE_SPACE,MO_SPACE_6,MO,,,,
RESOURCE_SPACE,VCPU_SPACE_7,VCPU,,,,
RESOURCE_SPACE,PCPU_SPACE_8,PCPU,,,,
RESOURCE,VMR_5_1,VMR,,,,"{""vmr_type"": ""stack""}"
RESOURCE,MO_6_1,MO,,,,
RESOURCE,VMR_5_2,VMR,,,,"{""vmr_type"": ""code""}"
RESOURCE,MO_6_2,MO,,,,
RESOURCE,VMR_5_3,VMR,,,,"{""vmr_type"": ""heap""}"
RESOURCE,MO_6_3,MO,,,,
RESOURCE,VCPU_7_1,VCPU,,,,
RESOURCE,PCPU_8_1,PCPU,,,,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,VMR_SPACE_1,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,MO_SPACE_2,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,VCPU_SPACE_3,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,PCPU_SPACE_4,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,VMR_SPACE_5,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,MO_SPACE_6,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,VCPU_SPACE_7,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,PCPU_SPACE_8,
,,VMR,REQUEST,PD_1,PD_0,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_1,VMR_1_1,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_1,VMR_1_2,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_1,VMR_1_3,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_1,VCPU_3_1,
,,NONE,SUBSET,VMR_1_1,VMR_SPACE_1,
,,{'pds': [['PD_0']]},MAP,VMR_1_1,MO_2_1,
,,NONE,SUBSET,MO_2_1,MO_SPACE_2,
,,NONE,SUBSET,VMR_1_2,VMR_SPACE_1,
,,{'pds': [['PD_0']]},MAP,VMR_1_2,MO_2_2,
,,NONE,SUBSET,MO_2_2,MO_SPACE_2,
,,NONE,SUBSET,VMR_1_3,VMR_SPACE_1,
,,{'pds': [['PD_0']]},MAP,VMR_1_3,MO_2_3,
,,NONE,SUBSET,MO_2_3,MO_SPACE_2,
,,NONE,SUBSET,VCPU_3_1,VCPU_SPACE_3,
,,{'pds': [['PD_0']]},MAP,VCPU_3_1,PCPU_4_1,
,,NONE,SUBSET,PCPU_4_1,PCPU_SPACE_4,
,,VMR,REQUEST,PD_2,PD_0,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_2,VMR_5_1,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_2,VMR_5_2,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_2,VMR_5_3,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_2,VCPU_7_1,
,,NONE,SUBSET,VMR_5_1,VMR_SPACE_5,
,,{'pds': [['PD_0']]},MAP,VMR_5_1,MO_6_1,
,,NONE,SUBSET,MO_6_1,MO_SPACE_6,
,,NONE,SUBSET,VMR_5_2,VMR_SPACE_5,
,,{'pds': [['PD_0']]},MAP,VMR_5_2,MO_6_2,
,,NONE,SUBSET,MO_6_2,MO_SPACE_6,
,,NONE,SUBSET,VMR_5_3,VMR_SPACE_5,
,,{'pds': [['PD_0']]},MAP,VMR_5_3,MO_6_3,
,,NONE,SUBSET,MO_6_3,MO_SPACE_6,
,,NONE,SUBSET,VCPU_7_1,VCPU_SPACE_7,
,,{'pds': [['PD_0']]},MAP,VCPU_7_1,PCPU_8_1,
,,NONE,SUBSET,PCPU_8_1,PCPU_SPACE_8,
