ID:ID,NODE_TYPE,DATA,EXTRA,:LABEL
VMR_1_1,RESOURCE,VMR,"{""vmr_type"": ""stack""}",RESOURCE
MO_2_1,RESOURCE,MO,,RESOURCE
VMR_1_2,RESOURCE,VMR,"{""vmr_type"": ""code""}",RESOURCE
MO_2_2,RESOURCE,MO,,RESOURCE
VMR_1_3,RESOURCE,VMR,"{""vmr_type"": ""heap""}",RESOURCE
MO_2_3,RESOURCE,MO,,RESOURCE
VCPU_3_1,RESOURCE,VCPU,,RESOURCE
PCPU_4_1,RESOURCE,PCPU,,RESOURCE
VMR_5_1,RESOURCE,VMR,"{""vmr_type"": ""stack""}",RESOURCE
MO_6_1,RESOURCE,MO,,RESOURCE
VMR_5_2,RESOURCE,VMR,"{""vmr_type"": ""code""}",RESOURCE
MO_6_2,RESOURCE,MO,,RESOURCE
VMR_5_3,RESOURCE,VMR,"{""vmr_type"": ""heap""}",RESOURCE
MO_6_3,RESOURCE,MO,,RESOURCE
VCPU_7_1,RESOURCE,VCPU,,RESOURCE
PCPU_8_1,RESOURCE,PCPU,,RESOURCE
