NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
PD,PD_0,Kernel,,,,
RESOURCE_SPACE,MO_SPACE_1,MO,,,,
RESOURCE_SPACE,PCPU_SPACE_2,PCPU,,,,
RESOURCE_SPACE,L3SET_SPACE_3,L3SET,,,,
RESOURCE,L3SET_3_1,L3SET,,,,
RESOURCE,L3SET_3_2,L3SET,,,,
RESOURCE,L3SET_3_3,L3SET,,,,
RESOURCE,L3SET_3_4,L3SET,,,,
PD,PD_1,P1,,,,
RESOURCE_SPACE,VMR_SPACE_4,VMR,,,,
RESOURCE_SPACE,VCPU_SPACE_5,VCPU,,,,
RESOURCE,VMR_4_1,VMR,,,,"{""vmr_type"": ""stack""}"
RESOURCE,MO_1_1,MO,,,,
RESOURCE,VMR_4_2,VMR,,,,"{""vmr_type"": ""code""}"
RESOURCE,MO_1_2,MO,,,,
RESOURCE,VMR_4_3,VMR,,,,"{""vmr_type"": ""heap""}"
RESOURCE,MO_1_3,MO,,,,
RESOURCE,VCPU_5_1,VCPU,,,,
RESOURCE,PCPU_2_1,PCPU,,,,
PD,PD_2,P2,,,,
RESOURCE_SPACE,VMR_SPACE_6,VMR,,,,
RESOURCE_SPACE,VCPU_SPACE_7,VCPU,,,,
RESOURCE,VMR_6_1,VMR,,,,"{""vmr_type"": ""stack""}"
RESOURCE,MO_1_4,MO,,,,
RESOURCE,VMR_6_2,VMR,,,,"{""vmr_type"": ""code""}"
RESOURCE,MO_1_5,MO,,,,
RESOURCE,VMR_6_3,VMR,,,,"{""vmr_type"": ""heap""}"
RESOURCE,MO_1_6,MO,,,,
RESOURCE,VCPU_7_1,VCPU,,,,
RESOURCE,PCPU_2_2,PCPU,,,,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,MO_SPACE_1,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,PCPU_SPACE_2,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,L3SET_SPACE_3,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,VMR_SPACE_4,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,VCPU_SPACE_5,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,VMR_SPACE_6,
,,"{'perms': 'RWX', 'pds': [['PD_0']]}",HOLD,PD_0,VCPU_SPACE_7,
,,NONE,SUBSET,L3SET_3_1,L3SET_SPACE_3,
,,NONE,SUBSET,L3SET_3_2,L3SET_SPACE_3,
,,NONE,SUBSET,L3SET_3_3,L3SET_SPACE_3,
,,NONE,SUBSET,L3SET_3_4,L3SET_SPACE_3,
,,VMR,REQUEST,PD_1,PD_0,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_1,VMR_4_1,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_1,VMR_4_2,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_1,VMR_4_3,
,,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",HOLD,PD_1,VCPU_5_1,
,,{'pds': [['PD_0']]},MAP,VMR_SPACE_4,MO_SPACE_1,
,,{'pds': [['PD_0']]},MAP,VCPU_SPACE_5,PCPU_SPACE_2,
,,NONE,SUBSET,VMR_4_1,VMR_SPACE_4,
,,{'pds': [['PD_0']]},MAP,VMR_4_1,MO_1_1,
,,NONE,SUBSET,MO_1_1,MO_SPACE_1,
,,{'pds': [['PD_0']]},MAP,MO_1_1,L3SET_3_3,
,,NONE,SUBSET,VMR_4_2,VMR_SPACE_4,
,,{'pds': [['PD_0']]},MAP,VMR_4_2,MO_1_2,
,,NONE,SUBSET,MO_1_2,MO_SPACE_1,
,,{'pds': [['PD_0']]},MAP,MO_1_2,L3SET_3_4,
,,NONE,SUBSET,VMR_4_3,VMR_SPACE_4,
,,{'pds': [['PD_0']]},MAP,VMR_4_3,MO_1_3,
,,NONE,SUBSET,MO_1_3,MO_SPACE_1,
,,{'pds': [['PD_0']]},MAP,MO_1_3,L3SET_3_2,
,,NONE,SUBSET,VCPU_5_1,VCPU_SPACE_5,
