:START_ID,DATA,EXTRA,:END_ID,:TYPE
PD_0,"{'perms': 'RWX', 'pds': [['PD_0']]}",,MO_SPACE_1,HOLD
PD_0,"{'perms': 'RWX', 'pds': [['PD_0']]}",,PD_SPACE_2,HOLD
PD_0,"{'perms': 'RWX', 'pds': [['PD_0']]}",,PCPU_SPACE_3,HOLD
PD_0,"{'perms': 'RWX', 'pds': [['PD_0']]}",,L3SET_SPACE_4,HOLD
PD_0,"{'perms': 'RWX', 'pds': [['PD_0']]}",,VMR_SPACE_5,HOLD
PD_0,"{'perms': 'RWX', 'pds': [['PD_0']]}",,VCPU_SPACE_6,HOLD
PD_0,"{'perms': 'RWX', 'pds': [['PD_0']]}",,VMR_SPACE_7,HOLD
PD_0,"{'perms': 'RWX', 'pds': [['PD_0']]}",,VCPU_SPACE_8,HOLD
L3SET_4_1,NONE,,L3SET_SPACE_4,SUBSET
L3SET_4_2,NONE,,L3SET_SPACE_4,SUBSET
L3SET_4_3,NONE,,L3SET_SPACE_4,SUBSET
L3SET_4_4,NONE,,L3SET_SPACE_4,SUBSET
PD_1,NONE,,PD_SPACE_2,SUBSET
PD_1,VMR,,PD_0,REQUEST
PD_1,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",,VMR_5_1,HOLD
PD_1,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",,VMR_5_2,HOLD
PD_1,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",,VMR_5_3,HOLD
PD_1,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",,VCPU_6_1,HOLD
VMR_SPACE_5,{'pds': [['PD_0']]},,MO_SPACE_1,MAP
VCPU_SPACE_6,{'pds': [['PD_0']]},,PCPU_SPACE_3,MAP
VMR_5_1,NONE,,VMR_SPACE_5,SUBSET
VMR_5_1,{'pds': [['PD_0']]},,MO_1_1,MAP
MO_1_1,NONE,,MO_SPACE_1,SUBSET
MO_1_1,{'pds': [['PD_0']]},,L3SET_4_3,MAP
VMR_5_2,NONE,,VMR_SPACE_5,SUBSET
VMR_5_2,{'pds': [['PD_0']]},,MO_1_2,MAP
MO_1_2,NONE,,MO_SPACE_1,SUBSET
MO_1_2,{'pds': [['PD_0']]},,L3SET_4_4,MAP
VMR_5_3,NONE,,VMR_SPACE_5,SUBSET
VMR_5_3,{'pds': [['PD_0']]},,MO_1_3,MAP
MO_1_3,NONE,,MO_SPACE_1,SUBSET
MO_1_3,{'pds': [['PD_0']]},,L3SET_4_2,MAP
VCPU_6_1,NONE,,VCPU_SPACE_6,SUBSET
VCPU_6_1,{'pds': [['PD_0']]},,PCPU_3_1,MAP
PCPU_3_1,NONE,,PCPU_SPACE_3,SUBSET
PD_2,NONE,,PD_SPACE_2,SUBSET
PD_2,VMR,,PD_0,REQUEST
PD_2,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",,VMR_7_1,HOLD
PD_2,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",,VMR_7_2,HOLD
PD_2,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",,VMR_7_3,HOLD
PD_2,"{'perms': 'Permission.R', 'pds': [['PD_0']]}",,VCPU_8_1,HOLD
VMR_SPACE_7,{'pds': [['PD_0']]},,MO_SPACE_1,MAP
VCPU_SPACE_8,{'pds': [['PD_0']]},,PCPU_SPACE_3,MAP
VMR_7_1,NONE,,VMR_SPACE_7,SUBSET
VMR_7_1,{'pds': [['PD_0']]},,MO_1_4,MAP
MO_1_4,NONE,,MO_SPACE_1,SUBSET
MO_1_4,{'pds': [['PD_0']]},,L3SET_4_4,MAP
VMR_7_2,NONE,,VMR_SPACE_7,SUBSET
VMR_7_2,{'pds': [['PD_0']]},,MO_1_5,MAP
MO_1_5,NONE,,MO_SPACE_1,SUBSET
MO_1_5,{'pds': [['PD_0']]},,L3SET_4_2,MAP
VMR_7_3,NONE,,VMR_SPACE_7,SUBSET
VMR_7_3,{'pds': [['PD_0']]},,MO_1_6,MAP
MO_1_6,NONE,,MO_SPACE_1,SUBSET
MO_1_6,{'pds': [['PD_0']]},,L3SET_4_1,MAP
VCPU_8_1,NONE,,VCPU_SPACE_8,SUBSET
VCPU_8_1,{'pds': [['PD_0']]},,PCPU_3_2,MAP
PCPU_3_2,NONE,,PCPU_SPACE_3,SUBSET
