NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
,,NONE,MAP,MO_100001_1,MO_1_17265,
,,NONE,MAP,MO_100001_1,VMR_2_146010,
,,NONE,MAP,MO_100001_2,MO_1_17266,
,,NONE,MAP,MO_100001_2,VMR_2_146011,
,,NONE,MAP,MO_100001_3,MO_1_17267,
,,NONE,MAP,MO_100001_3,VMR_2_146012,
,,NONE,MAP,MO_100001_4,MO_1_17268,
,,NONE,MAP,MO_100001_4,VMR_2_146013,
,,NONE,MAP,MO_100001_5,MO_1_17271,
,,NONE,MAP,MO_100001_5,VMR_2_146016,
,,NONE,MAP,MO_100001_6,MO_1_17272,
,,NONE,MAP,MO_100001_6,VMR_2_146017,
,,NONE,MAP,MO_100001_7,MO_1_17273,
,,NONE,MAP,MO_100001_7,VMR_2_146018,
,,NONE,MAP,MO_100001_8,MO_1_17274,
,,NONE,MAP,MO_100001_8,VMR_2_146019,
,,NONE,MAP,MO_100001_9,MO_1_17275,
,,NONE,MAP,MO_100001_9,VMR_2_146020,
,,NONE,MAP,MO_100001_10,MO_1_17276,
,,NONE,MAP,MO_100001_10,VMR_2_146021,
,,NONE,MAP,MO_100001_11,MO_1_17277,
,,NONE,MAP,MO_100001_11,VMR_2_146022,
,,NONE,MAP,MO_100001_12,MO_1_17278,
,,NONE,MAP,MO_100001_12,VMR_2_146023,
,,NONE,MAP,MO_100001_13,MO_1_17279,
,,NONE,MAP,MO_100001_13,VMR_2_146024,
,,NONE,MAP,MO_100001_14,MO_1_17280,
,,NONE,MAP,MO_100001_14,VMR_2_146025,
,,NONE,MAP,MO_100001_15,MO_1_17281,
,,NONE,MAP,MO_100001_15,VMR_2_146026,
,,NONE,MAP,MO_100001_16,MO_1_17282,
,,NONE,MAP,MO_100001_16,VMR_2_146027,
,,NONE,MAP,MO_100001_17,MO_1_17283,
,,NONE,MAP,MO_100001_17,VMR_2_146028,
,,NONE,MAP,MO_100001_18,MO_1_17284,
,,NONE,MAP,MO_100001_18,VMR_2_146029,
,,NONE,MAP,MO_100001_19,MO_1_17285,
,,NONE,MAP,MO_100001_19,VMR_2_146030,
,,NONE,MAP,MO_100001_20,MO_1_17286,
,,NONE,MAP,MO_100001_20,VMR_2_146031,
,,NONE,MAP,MO_100001_21,MO_1_17287,
,,NONE,MAP,MO_100001_21,VMR_2_146032,
,,NONE,MAP,MO_100001_22,MO_1_17288,
,,NONE,MAP,MO_100001_22,VMR_2_146033,
,,NONE,MAP,MO_100001_23,MO_1_17289,
,,NONE,MAP,MO_100001_23,VMR_2_146034,
,,NONE,MAP,MO_100001_24,MO_1_17290,
,,NONE,MAP,MO_100001_24,VMR_2_146035,
,,NONE,MAP,MO_100001_25,MO_1_17291,
,,NONE,MAP,MO_100001_25,VMR_2_146036,
,,NONE,MAP,MO_100001_26,MO_1_17292,
,,NONE,MAP,MO_100001_26,VMR_2_146037,
,,NONE,MAP,MO_100001_27,MO_1_17293,
,,NONE,MAP,MO_100001_27,VMR_2_146038,
,,NONE,MAP,MO_100001_28,MO_1_7821,
,,NONE,MAP,MO_100001_28,VMR_2_151782,
,,NONE,MAP,MO_100001_29,MO_1_7822,
,,NONE,MAP,MO_100001_29,VMR_2_151783,
,,NONE,MAP,MO_100001_30,MO_1_7823,
,,NONE,MAP,MO_100001_30,VMR_2_151784,
,,NONE,MAP,MO_100001_31,MO_1_7824,
,,NONE,MAP,MO_100001_31,VMR_2_151785,
,,NONE,MAP,MO_100001_32,MO_1_7833,
,,NONE,MAP,MO_100001_32,VMR_2_151794,
,,NONE,MAP,MO_100001_33,MO_1_7834,
,,NONE,MAP,MO_100001_33,VMR_2_151795,
,,NONE,MAP,MO_100001_34,MO_1_7835,
,,NONE,MAP,MO_100001_34,VMR_2_151796,
,,NONE,MAP,MO_100001_35,MO_1_7836,
,,NONE,MAP,MO_100001_35,VMR_2_151797,
,,NONE,MAP,MO_100001_36,MO_1_7837,
,,NONE,MAP,MO_100001_36,VMR_2_151798,
,,NONE,MAP,MO_100001_37,MO_1_7838,
,,NONE,MAP,MO_100001_37,VMR_2_151799,
,,NONE,MAP,MO_100001_38,MO_1_7839,
,,NONE,MAP,MO_100001_38,VMR_2_151800,
,,NONE,MAP,MO_100001_39,MO_1_7840,
,,NONE,MAP,MO_100001_39,VMR_2_151801,
,,NONE,MAP,MO_100001_40,MO_1_7841,
,,NONE,MAP,MO_100001_40,VMR_2_151802,
,,NONE,MAP,MO_100001_41,MO_1_7842,
,,NONE,MAP,MO_100001_41,VMR_2_151803,
,,NONE,MAP,MO_100001_42,MO_1_7843,
,,NONE,MAP,MO_100001_42,VMR_2_151804,
,,NONE,MAP,MO_100001_43,MO_1_7844,
,,NONE,MAP,MO_100001_43,VMR_2_151805,
,,NONE,MAP,MO_100001_44,MO_1_7845,
,,NONE,MAP,MO_100001_44,VMR_2_151806,
,,NONE,MAP,MO_100001_45,MO_1_7846,
,,NONE,MAP,MO_100001_45,VMR_2_151807,
,,NONE,MAP,MO_100001_46,MO_1_7847,
,,NONE,MAP,MO_100001_46,VMR_2_151808,
,,NONE,MAP,MO_100001_47,MO_1_7848,
,,NONE,MAP,MO_100001_47,VMR_2_151809,
,,NONE,MAP,MO_100001_48,MO_1_7879,
,,NONE,MAP,MO_100001_48,VMR_2_151840,
,,NONE,MAP,MO_100001_49,MO_1_7880,
,,NONE,MAP,MO_100001_49,VMR_2_151841,
,,NONE,MAP,MO_100001_50,MO_1_7881,
,,NONE,MAP,MO_100001_50,VMR_2_151842,
,,NONE,MAP,MO_100001_51,MO_1_7882,
,,NONE,MAP,MO_100001_51,VMR_2_151843,
,,NONE,MAP,MO_100001_52,MO_1_7883,
,,NONE,MAP,MO_100001_52,VMR_2_151844,
,,NONE,MAP,MO_100001_53,MO_1_7884,
