:START_ID,DATA,:END_ID,:TYPE
MO_100001_1,NONE,MO_1_17265,MAP
MO_100001_1,NONE,VMR_2_146010,MAP
MO_100001_2,NONE,MO_1_17266,MAP
MO_100001_2,NONE,VMR_2_146011,MAP
MO_100001_3,NONE,MO_1_17267,MAP
MO_100001_3,NONE,VMR_2_146012,MAP
MO_100001_4,NONE,MO_1_17268,MAP
MO_100001_4,NONE,VMR_2_146013,MAP
MO_100001_5,NONE,MO_1_17271,MAP
MO_100001_5,NONE,VMR_2_146016,MAP
MO_100001_6,NONE,MO_1_17272,MAP
MO_100001_6,NONE,VMR_2_146017,MAP
MO_100001_7,NONE,MO_1_17273,MAP
MO_100001_7,NONE,VMR_2_146018,MAP
MO_100001_8,NONE,MO_1_17274,MAP
MO_100001_8,NONE,VMR_2_146019,MAP
MO_100001_9,NONE,MO_1_17275,MAP
MO_100001_9,NONE,VMR_2_146020,MAP
MO_100001_10,NONE,MO_1_17276,MAP
MO_100001_10,NONE,VMR_2_146021,MAP
MO_100001_11,NONE,MO_1_17277,MAP
MO_100001_11,NONE,VMR_2_146022,MAP
MO_100001_12,NONE,MO_1_17278,MAP
MO_100001_12,NONE,VMR_2_146023,MAP
MO_100001_13,NONE,MO_1_17279,MAP
MO_100001_13,NONE,VMR_2_146024,MAP
MO_100001_14,NONE,MO_1_17280,MAP
MO_100001_14,NONE,VMR_2_146025,MAP
MO_100001_15,NONE,MO_1_17281,MAP
MO_100001_15,NONE,VMR_2_146026,MAP
MO_100001_16,NONE,MO_1_17282,MAP
MO_100001_16,NONE,VMR_2_146027,MAP
MO_100001_17,NONE,MO_1_17283,MAP
MO_100001_17,NONE,VMR_2_146028,MAP
MO_100001_18,NONE,MO_1_17284,MAP
MO_100001_18,NONE,VMR_2_146029,MAP
MO_100001_19,NONE,MO_1_17285,MAP
MO_100001_19,NONE,VMR_2_146030,MAP
MO_100001_20,NONE,MO_1_17286,MAP
MO_100001_20,NONE,VMR_2_146031,MAP
MO_100001_21,NONE,MO_1_17287,MAP
MO_100001_21,NONE,VMR_2_146032,MAP
MO_100001_22,NONE,MO_1_17288,MAP
MO_100001_22,NONE,VMR_2_146033,MAP
MO_100001_23,NONE,MO_1_17289,MAP
MO_100001_23,NONE,VMR_2_146034,MAP
MO_100001_24,NONE,MO_1_17290,MAP
MO_100001_24,NONE,VMR_2_146035,MAP
MO_100001_25,NONE,MO_1_17291,MAP
MO_100001_25,NONE,VMR_2_146036,MAP
MO_100001_26,NONE,MO_1_17292,MAP
MO_100001_26,NONE,VMR_2_146037,MAP
MO_100001_27,NONE,MO_1_17293,MAP
MO_100001_27,NONE,VMR_2_146038,MAP
MO_100001_28,NONE,MO_1_7821,MAP
MO_100001_28,NONE,VMR_2_151782,MAP
MO_100001_29,NONE,MO_1_7822,MAP
MO_100001_29,NONE,VMR_2_151783,MAP
MO_100001_30,NONE,MO_1_7823,MAP
MO_100001_30,NONE,VMR_2_151784,MAP
MO_100001_31,NONE,MO_1_7824,MAP
MO_100001_31,NONE,VMR_2_151785,MAP
MO_100001_32,NONE,MO_1_7833,MAP
MO_100001_32,NONE,VMR_2_151794,MAP
MO_100001_33,NONE,MO_1_7834,MAP
MO_100001_33,NONE,VMR_2_151795,MAP
MO_100001_34,NONE,MO_1_7835,MAP
MO_100001_34,NONE,VMR_2_151796,MAP
MO_100001_35,NONE,MO_1_7836,MAP
MO_100001_35,NONE,VMR_2_151797,MAP
MO_100001_36,NONE,MO_1_7837,MAP
MO_100001_36,NONE,VMR_2_151798,MAP
MO_100001_37,NONE,MO_1_7838,MAP
MO_100001_37,NONE,VMR_2_151799,MAP
MO_100001_38,NONE,MO_1_7839,MAP
MO_100001_38,NONE,VMR_2_151800,MAP
MO_100001_39,NONE,MO_1_7840,MAP
MO_100001_39,NONE,VMR_2_151801,MAP
MO_100001_40,NONE,MO_1_7841,MAP
MO_100001_40,NONE,VMR_2_151802,MAP
MO_100001_41,NONE,MO_1_7842,MAP
MO_100001_41,NONE,VMR_2_151803,MAP
MO_100001_42,NONE,MO_1_7843,MAP
MO_100001_42,NONE,VMR_2_151804,MAP
MO_100001_43,NONE,MO_1_7844,MAP
MO_100001_43,NONE,VMR_2_151805,MAP
MO_100001_44,NONE,MO_1_7845,MAP
MO_100001_44,NONE,VMR_2_151806,MAP
MO_100001_45,NONE,MO_1_7846,MAP
MO_100001_45,NONE,VMR_2_151807,MAP
MO_100001_46,NONE,MO_1_7847,MAP
MO_100001_46,NONE,VMR_2_151808,MAP
MO_100001_47,NONE,MO_1_7848,MAP
MO_100001_47,NONE,VMR_2_151809,MAP
MO_100001_48,NONE,MO_1_7879,MAP
MO_100001_48,NONE,VMR_2_151840,MAP
MO_100001_49,NONE,MO_1_7880,MAP
MO_100001_49,NONE,VMR_2_151841,MAP
MO_100001_50,NONE,MO_1_7881,MAP
MO_100001_50,NONE,VMR_2_151842,MAP
MO_100001_51,NONE,MO_1_7882,MAP
MO_100001_51,NONE,VMR_2_151843,MAP
MO_100001_52,NONE,MO_1_7883,MAP
MO_100001_52,NONE,VMR_2_151844,MAP
MO_100001_53,NONE,MO_1_7884,MAP
MO_100001_53,NONE,VMR_2_151845,MAP
MO_100001_54,NONE,MO_1_7885,MAP
MO_100001_54,NONE,VMR_2_151846,MAP
MO_100001_55,NONE,MO_1_7886,MAP
MO_100001_55,NONE,VMR_2_151847,MAP
MO_100001_56,NONE,MO_1_7887,MAP
MO_100001_56,NONE,VMR_2_151848,MAP
MO_100001_57,NONE,MO_1_7888,MAP
MO_100001_57,NONE,VMR_2_151849,MAP
MO_100001_58,NONE,MO_1_7889,MAP
MO_100001_58,NONE,VMR_2_151850,MAP
MO_100001_59,NONE,MO_1_7890,MAP
MO_100001_59,NONE,VMR_2_151851,MAP
MO_100001_60,NONE,MO_1_7891,MAP
MO_100001_60,NONE,VMR_2_151852,MAP
MO_100001_61,NONE,MO_1_7892,MAP
MO_100001_61,NONE,VMR_2_151853,MAP
MO_100001_62,NONE,MO_1_7893,MAP
MO_100001_62,NONE,VMR_2_151854,MAP
MO_100001_63,NONE,MO_1_7894,MAP
MO_100001_63,NONE,VMR_2_151855,MAP
MO_100001_64,NONE,MO_1_7895,MAP
MO_100001_64,NONE,VMR_2_151856,MAP
MO_100001_65,NONE,MO_1_7912,MAP
MO_100001_65,NONE,VMR_2_151873,MAP
MO_100001_66,NONE,MO_1_7913,MAP
MO_100001_66,NONE,VMR_2_151874,MAP
MO_100001_67,NONE,MO_1_7914,MAP
MO_100001_67,NONE,VMR_2_151875,MAP
MO_100001_68,NONE,MO_1_7915,MAP
MO_100001_68,NONE,VMR_2_151876,MAP
MO_100001_69,NONE,MO_1_7916,MAP
MO_100001_69,NONE,VMR_2_151877,MAP
MO_100001_70,NONE,MO_1_7917,MAP
MO_100001_70,NONE,VMR_2_151878,MAP
MO_100001_71,NONE,MO_1_7918,MAP
MO_100001_71,NONE,VMR_2_151879,MAP
MO_100001_72,NONE,MO_1_7919,MAP
MO_100001_72,NONE,VMR_2_151880,MAP
MO_100001_73,NONE,MO_1_7920,MAP
MO_100001_73,NONE,VMR_2_151881,MAP
MO_100001_74,NONE,MO_1_7921,MAP
MO_100001_74,NONE,VMR_2_151882,MAP
MO_100001_75,NONE,MO_1_7922,MAP
MO_100001_75,NONE,VMR_2_151883,MAP
MO_100001_76,NONE,MO_1_7923,MAP
MO_100001_76,NONE,VMR_2_151884,MAP
MO_100001_77,NONE,MO_1_7924,MAP
MO_100001_77,NONE,VMR_2_151885,MAP
MO_100001_78,NONE,MO_1_7925,MAP
MO_100001_78,NONE,VMR_2_151886,MAP
MO_100001_79,NONE,MO_1_7926,MAP
MO_100001_79,NONE,VMR_2_151887,MAP
MO_100001_80,NONE,MO_1_7927,MAP
MO_100001_80,NONE,VMR_2_151888,MAP
MO_100001_81,NONE,MO_1_7942,MAP
MO_100001_81,NONE,VMR_2_151903,MAP
MO_100001_82,NONE,MO_1_7943,MAP
MO_100001_82,NONE,VMR_2_151904,MAP
MO_100001_83,NONE,MO_1_7944,MAP
MO_100001_83,NONE,VMR_2_151905,MAP
MO_100001_84,NONE,MO_1_8043,MAP
MO_100001_84,NONE,VMR_2_152004,MAP
MO_100001_85,NONE,MO_1_8265,MAP
MO_100001_85,NONE,VMR_2_152226,MAP
MO_100001_86,NONE,MO_1_8266,MAP
MO_100001_86,NONE,VMR_2_152227,MAP
MO_100001_87,NONE,MO_1_8267,MAP
MO_100001_87,NONE,VMR_2_152228,MAP
MO_100001_88,NONE,MO_1_8268,MAP
MO_100001_88,NONE,VMR_2_152229,MAP
MO_100001_89,NONE,MO_1_8269,MAP
MO_100001_89,NONE,VMR_2_152230,MAP
MO_100001_90,NONE,MO_1_8270,MAP
MO_100001_90,NONE,VMR_2_152231,MAP
MO_100001_91,NONE,MO_1_8271,MAP
MO_100001_91,NONE,VMR_2_152232,MAP
MO_100001_92,NONE,MO_1_8272,MAP
MO_100001_92,NONE,VMR_2_152233,MAP
MO_100001_93,NONE,MO_1_8273,MAP
MO_100001_93,NONE,VMR_2_152234,MAP
MO_100001_94,NONE,MO_1_8296,MAP
MO_100001_94,NONE,VMR_2_152257,MAP
MO_100001_95,NONE,MO_1_8306,MAP
MO_100001_95,NONE,VMR_2_152267,MAP
MO_100001_96,NONE,MO_1_8307,MAP
MO_100001_96,NONE,VMR_2_152268,MAP
MO_100001_97,NONE,MO_1_8308,MAP
MO_100001_97,NONE,VMR_2_152269,MAP
MO_100001_98,NONE,MO_1_8309,MAP
MO_100001_98,NONE,VMR_2_152270,MAP
MO_100001_99,NONE,MO_1_8310,MAP
MO_100001_99,NONE,VMR_2_152271,MAP
MO_100001_100,NONE,MO_1_8311,MAP
MO_100001_100,NONE,VMR_2_152272,MAP
MO_100001_101,NONE,MO_1_8312,MAP
MO_100001_101,NONE,VMR_2_152273,MAP
MO_100001_102,NONE,MO_1_8313,MAP
MO_100001_102,NONE,VMR_2_152274,MAP
MO_100001_103,NONE,MO_1_8314,MAP
MO_100001_103,NONE,VMR_2_152275,MAP
MO_100001_104,NONE,MO_1_8315,MAP
MO_100001_104,NONE,VMR_2_152276,MAP
MO_100001_105,NONE,MO_1_8316,MAP
MO_100001_105,NONE,VMR_2_152277,MAP
MO_100001_106,NONE,MO_1_8317,MAP
MO_100001_106,NONE,VMR_2_152278,MAP
MO_100001_107,NONE,MO_1_8318,MAP
MO_100001_107,NONE,VMR_2_152279,MAP
MO_100001_108,NONE,MO_1_8319,MAP
MO_100001_108,NONE,VMR_2_152280,MAP
MO_100001_109,NONE,MO_1_8320,MAP
MO_100001_109,NONE,VMR_2_152281,MAP
