NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
PD,PD_1,Kernel,,,,
RESOURCE_SPACE,MO_SPACE_1,MO,,,,
RESOURCE,MO_1_1,MO,,,,"{""pa"": ""0x199023000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_2,MO,,,,"{""pa"": ""0x19a65b000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_3,MO,,,,"{""pa"": ""0x19b892000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_4,MO,,,,"{""pa"": ""0x19b893000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_5,MO,,,,"{""pa"": ""0x19bbf4000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_6,MO,,,,"{""pa"": ""0x19bbf5000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_7,MO,,,,"{""pa"": ""0x19bbf6000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_8,MO,,,,"{""pa"": ""0x19bbf7000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_9,MO,,,,"{""pa"": ""0x19d228000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_10,MO,,,,"{""pa"": ""0x19fc13000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_11,MO,,,,"{""pa"": ""0x19fc16000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_12,MO,,,,"{""pa"": ""0x1a0b5f000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_13,MO,,,,"{""pa"": ""0x1a3218000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_14,MO,,,,"{""pa"": ""0x1a3219000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_15,MO,,,,"{""pa"": ""0x1a321a000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_16,MO,,,,"{""pa"": ""0x1a321b000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_17,MO,,,,"{""pa"": ""0x1a3752000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_18,MO,,,,"{""pa"": ""0x1a3bda000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_19,MO,,,,"{""pa"": ""0x1a464c000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_20,MO,,,,"{""pa"": ""0x1a49a2000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_21,MO,,,,"{""pa"": ""0x1a4f86000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_22,MO,,,,"{""pa"": ""0x1a4f87000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_23,MO,,,,"{""pa"": ""0x1a5118000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_24,MO,,,,"{""pa"": ""0x1a5119000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_25,MO,,,,"{""pa"": ""0x1a511a000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_26,MO,,,,"{""pa"": ""0x1a52d8000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_27,MO,,,,"{""pa"": ""0x1a52d9000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_28,MO,,,,"{""pa"": ""0x1a6320000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_29,MO,,,,"{""pa"": ""0x1a632e000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_30,MO,,,,"{""pa"": ""0x1a6331000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_31,MO,,,,"{""pa"": ""0x1a64dc000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_32,MO,,,,"{""pa"": ""0x1a64dd000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_33,MO,,,,"{""pa"": ""0x1a6544000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_34,MO,,,,"{""pa"": ""0x1a6562000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_35,MO,,,,"{""pa"": ""0x1a6d1c000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_36,MO,,,,"{""pa"": ""0x1a6d1d000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_37,MO,,,,"{""pa"": ""0x1a6d1e000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_38,MO,,,,"{""pa"": ""0x1a6d1f000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_39,MO,,,,"{""pa"": ""0x1a7926000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_40,MO,,,,"{""pa"": ""0x1a7927000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_41,MO,,,,"{""pa"": ""0x1a7ca8000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_42,MO,,,,"{""pa"": ""0x1a7ca9000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_43,MO,,,,"{""pa"": ""0x1a7cab000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_44,MO,,,,"{""pa"": ""0x1a7cb0000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_45,MO,,,,"{""pa"": ""0x1a7cb1000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_46,MO,,,,"{""pa"": ""0x1a7cb3000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_47,MO,,,,"{""pa"": ""0x1a7cba000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_48,MO,,,,"{""pa"": ""0x1a7cbf000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_49,MO,,,,"{""pa"": ""0x1a8641000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_50,MO,,,,"{""pa"": ""0x1a8642000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_51,MO,,,,"{""pa"": ""0x1a8643000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_52,MO,,,,"{""pa"": ""0x1a92a3000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_53,MO,,,,"{""pa"": ""0x1a92a9000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_54,MO,,,,"{""pa"": ""0x1a92ad000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_55,MO,,,,"{""pa"": ""0x1a93d0000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_56,MO,,,,"{""pa"": ""0x1a93d1000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_57,MO,,,,"{""pa"": ""0x1a93d2000"", ""num_pages"": 1, ""page_size"": 4096}"
RESOURCE,MO_1_58,MO,,,,"{""pa"": ""0x1a93d3000"", ""num_pages"": 1, ""page_size"": 4096}"
