:START_ID,DATA,:END_ID,:TYPE
MO_100001_1,NONE,MO_1_27834,MAP
MO_100001_1,NONE,VMR_2_169883,MAP
MO_100001_2,NONE,MO_1_27837,MAP
MO_100001_2,NONE,VMR_2_169886,MAP
MO_100001_3,NONE,MO_1_27845,MAP
MO_100001_3,NONE,VMR_2_169894,MAP
MO_100001_4,NONE,MO_1_27891,MAP
MO_100001_4,NONE,VMR_2_169940,MAP
MO_100001_5,NONE,MO_1_27893,MAP
MO_100001_5,NONE,VMR_2_169942,MAP
MO_100001_6,NONE,MO_1_27913,MAP
MO_100001_6,NONE,VMR_2_169962,MAP
MO_100001_7,NONE,MO_1_27919,MAP
MO_100001_7,NONE,VMR_2_169968,MAP
MO_100001_8,NONE,MO_1_27925,MAP
MO_100001_8,NONE,VMR_2_169974,MAP
MO_100001_9,NONE,MO_1_27935,MAP
MO_100001_9,NONE,VMR_2_169984,MAP
MO_100001_10,NONE,MO_1_27941,MAP
MO_100001_10,NONE,VMR_2_169990,MAP
MO_100001_11,NONE,MO_1_27945,MAP
MO_100001_11,NONE,VMR_2_169994,MAP
MO_100001_12,NONE,MO_1_27955,MAP
MO_100001_12,NONE,VMR_2_170004,MAP
MO_100001_13,NONE,MO_1_28249,MAP
MO_100001_13,NONE,VMR_2_170298,MAP
MO_100001_14,NONE,MO_1_28277,MAP
MO_100001_14,NONE,VMR_2_170326,MAP
MO_100001_15,NONE,MO_1_28281,MAP
MO_100001_15,NONE,VMR_2_170330,MAP
MO_100001_16,NONE,MO_1_28304,MAP
MO_100001_16,NONE,VMR_2_170353,MAP
MO_100001_17,NONE,MO_1_28317,MAP
MO_100001_17,NONE,VMR_2_170366,MAP
MO_100001_18,NONE,MO_1_28318,MAP
MO_100001_18,NONE,VMR_2_170367,MAP
MO_100001_19,NONE,MO_1_28319,MAP
MO_100001_19,NONE,VMR_2_170368,MAP
MO_100001_20,NONE,MO_1_28320,MAP
MO_100001_20,NONE,VMR_2_170369,MAP
MO_100001_21,NONE,MO_1_28321,MAP
MO_100001_21,NONE,VMR_2_170370,MAP
MO_100001_22,NONE,MO_1_28322,MAP
MO_100001_22,NONE,VMR_2_170371,MAP
MO_100001_23,NONE,MO_1_28323,MAP
MO_100001_23,NONE,VMR_2_170372,MAP
MO_100001_24,NONE,MO_1_28324,MAP
MO_100001_24,NONE,VMR_2_170373,MAP
MO_100001_25,NONE,MO_1_28325,MAP
MO_100001_25,NONE,VMR_2_170374,MAP
MO_100001_26,NONE,MO_1_28326,MAP
MO_100001_26,NONE,VMR_2_170375,MAP
MO_100001_27,NONE,MO_1_28327,MAP
MO_100001_27,NONE,VMR_2_170376,MAP
MO_100001_28,NONE,MO_1_28328,MAP
MO_100001_28,NONE,VMR_2_170377,MAP
MO_100001_29,NONE,MO_1_28329,MAP
MO_100001_29,NONE,VMR_2_170378,MAP
MO_100001_30,NONE,MO_1_28330,MAP
MO_100001_30,NONE,VMR_2_170379,MAP
MO_100001_31,NONE,MO_1_28331,MAP
MO_100001_31,NONE,VMR_2_170380,MAP
MO_100001_32,NONE,MO_1_28332,MAP
MO_100001_32,NONE,VMR_2_170381,MAP
MO_100001_33,NONE,MO_1_28333,MAP
MO_100001_33,NONE,VMR_2_170382,MAP
MO_100001_34,NONE,MO_1_28334,MAP
MO_100001_34,NONE,VMR_2_170383,MAP
MO_100001_35,NONE,MO_1_28335,MAP
MO_100001_35,NONE,VMR_2_170384,MAP
MO_100001_36,NONE,MO_1_26536,MAP
MO_100001_36,NONE,VMR_2_170757,MAP
MO_100001_37,NONE,MO_1_26620,MAP
MO_100001_37,NONE,VMR_2_170841,MAP
MO_100001_38,NONE,MO_1_26621,MAP
MO_100001_38,NONE,VMR_2_170842,MAP
MO_100001_39,NONE,MO_1_26622,MAP
MO_100001_39,NONE,VMR_2_170843,MAP
MO_100001_40,NONE,MO_1_26623,MAP
MO_100001_40,NONE,VMR_2_170844,MAP
MO_100001_41,NONE,MO_1_26624,MAP
MO_100001_41,NONE,VMR_2_170845,MAP
MO_100001_42,NONE,MO_1_26625,MAP
MO_100001_42,NONE,VMR_2_170846,MAP
MO_100001_43,NONE,MO_1_26626,MAP
MO_100001_43,NONE,VMR_2_170847,MAP
MO_100001_44,NONE,MO_1_26627,MAP
MO_100001_44,NONE,VMR_2_170848,MAP
MO_100001_45,NONE,MO_1_26628,MAP
MO_100001_45,NONE,VMR_2_170849,MAP
MO_100001_46,NONE,MO_1_26629,MAP
MO_100001_46,NONE,VMR_2_170850,MAP
MO_100001_47,NONE,MO_1_26630,MAP
MO_100001_47,NONE,VMR_2_170851,MAP
MO_100001_48,NONE,MO_1_26631,MAP
MO_100001_48,NONE,VMR_2_170852,MAP
MO_100001_49,NONE,MO_1_26632,MAP
MO_100001_49,NONE,VMR_2_170853,MAP
MO_100001_50,NONE,MO_1_26653,MAP
MO_100001_50,NONE,VMR_2_170874,MAP
MO_100001_51,NONE,MO_1_26654,MAP
MO_100001_51,NONE,VMR_2_170875,MAP
MO_100001_52,NONE,MO_1_26655,MAP
MO_100001_52,NONE,VMR_2_170876,MAP
MO_100001_53,NONE,MO_1_26656,MAP
MO_100001_53,NONE,VMR_2_170877,MAP
MO_100001_54,NONE,MO_1_26657,MAP
MO_100001_54,NONE,VMR_2_170878,MAP
MO_100001_55,NONE,MO_1_26658,MAP
MO_100001_55,NONE,VMR_2_170879,MAP
MO_100001_56,NONE,MO_1_26659,MAP
MO_100001_56,NONE,VMR_2_170880,MAP
MO_100001_57,NONE,MO_1_26660,MAP
MO_100001_57,NONE,VMR_2_170881,MAP
MO_100001_58,NONE,MO_1_26661,MAP
MO_100001_58,NONE,VMR_2_170882,MAP
MO_100001_59,NONE,MO_1_26662,MAP
MO_100001_59,NONE,VMR_2_170883,MAP
MO_100001_60,NONE,MO_1_26663,MAP
MO_100001_60,NONE,VMR_2_170884,MAP
MO_100001_61,NONE,MO_1_26664,MAP
MO_100001_61,NONE,VMR_2_170885,MAP
MO_100001_62,NONE,MO_1_8339,MAP
MO_100001_62,NONE,VMR_2_171157,MAP
MO_100001_63,NONE,MO_1_8468,MAP
MO_100001_63,NONE,VMR_2_171286,MAP
MO_100001_64,NONE,MO_1_8474,MAP
MO_100001_64,NONE,VMR_2_171292,MAP
MO_100001_65,NONE,MO_1_8533,MAP
MO_100001_65,NONE,VMR_2_171351,MAP
MO_100001_66,NONE,MO_1_8559,MAP
MO_100001_66,NONE,VMR_2_171377,MAP
MO_100001_67,NONE,MO_1_17098,MAP
MO_100001_67,NONE,VMR_2_171946,MAP
MO_100001_68,NONE,MO_1_17102,MAP
MO_100001_68,NONE,VMR_2_171950,MAP
MO_100001_69,NONE,MO_1_17110,MAP
MO_100001_69,NONE,VMR_2_171958,MAP
MO_100001_70,NONE,MO_1_17140,MAP
MO_100001_70,NONE,VMR_2_171988,MAP
MO_100001_71,NONE,MO_1_17142,MAP
MO_100001_71,NONE,VMR_2_171990,MAP
MO_100001_72,NONE,MO_1_17150,MAP
MO_100001_72,NONE,VMR_2_171998,MAP
MO_100001_73,NONE,MO_1_24999,MAP
MO_100001_73,NONE,VMR_2_177566,MAP
MO_100001_74,NONE,MO_1_25000,MAP
MO_100001_74,NONE,VMR_2_177567,MAP
MO_100001_75,NONE,MO_1_25001,MAP
MO_100001_75,NONE,VMR_2_177568,MAP
MO_100001_76,NONE,MO_1_25002,MAP
MO_100001_76,NONE,VMR_2_177569,MAP
MO_100001_77,NONE,MO_1_25005,MAP
MO_100001_77,NONE,VMR_2_177572,MAP
MO_100001_78,NONE,MO_1_25006,MAP
MO_100001_78,NONE,VMR_2_177573,MAP
MO_100001_79,NONE,MO_1_25007,MAP
MO_100001_79,NONE,VMR_2_177574,MAP
MO_100001_80,NONE,MO_1_25008,MAP
MO_100001_80,NONE,VMR_2_177575,MAP
MO_100001_81,NONE,MO_1_25009,MAP
MO_100001_81,NONE,VMR_2_177576,MAP
MO_100001_82,NONE,MO_1_25010,MAP
MO_100001_82,NONE,VMR_2_177577,MAP
MO_100001_83,NONE,MO_1_25011,MAP
MO_100001_83,NONE,VMR_2_177578,MAP
MO_100001_84,NONE,MO_1_25012,MAP
MO_100001_84,NONE,VMR_2_177579,MAP
MO_100001_85,NONE,MO_1_25013,MAP
MO_100001_85,NONE,VMR_2_177580,MAP
MO_100001_86,NONE,MO_1_25014,MAP
MO_100001_86,NONE,VMR_2_177581,MAP
MO_100001_87,NONE,MO_1_25015,MAP
MO_100001_87,NONE,VMR_2_177582,MAP
MO_100001_88,NONE,MO_1_25016,MAP
MO_100001_88,NONE,VMR_2_177583,MAP
MO_100001_89,NONE,MO_1_25017,MAP
MO_100001_89,NONE,VMR_2_177584,MAP
MO_100001_90,NONE,MO_1_25018,MAP
MO_100001_90,NONE,VMR_2_177585,MAP
MO_100001_91,NONE,MO_1_25019,MAP
MO_100001_91,NONE,VMR_2_177586,MAP
MO_100001_92,NONE,MO_1_25022,MAP
MO_100001_92,NONE,VMR_2_177589,MAP
MO_100001_93,NONE,MO_1_25023,MAP
MO_100001_93,NONE,VMR_2_177590,MAP
MO_100001_94,NONE,MO_1_25024,MAP
MO_100001_94,NONE,VMR_2_177591,MAP
MO_100001_95,NONE,MO_1_25025,MAP
MO_100001_95,NONE,VMR_2_177592,MAP
MO_100001_96,NONE,MO_1_25026,MAP
MO_100001_96,NONE,VMR_2_177593,MAP
MO_100001_97,NONE,MO_1_25027,MAP
MO_100001_97,NONE,VMR_2_177594,MAP
MO_100001_98,NONE,MO_1_25028,MAP
MO_100001_98,NONE,VMR_2_177595,MAP
MO_100001_99,NONE,MO_1_25030,MAP
MO_100001_99,NONE,VMR_2_177597,MAP
MO_100001_100,NONE,MO_1_25033,MAP
MO_100001_100,NONE,VMR_2_177600,MAP
MO_100001_101,NONE,MO_1_25034,MAP
MO_100001_101,NONE,VMR_2_177601,MAP
MO_100001_102,NONE,MO_1_25035,MAP
MO_100001_102,NONE,VMR_2_177602,MAP
MO_100001_103,NONE,MO_1_25036,MAP
MO_100001_103,NONE,VMR_2_177603,MAP
MO_100001_104,NONE,MO_1_25037,MAP
MO_100001_104,NONE,VMR_2_177604,MAP
MO_100001_105,NONE,MO_1_25038,MAP
MO_100001_105,NONE,VMR_2_177605,MAP
MO_100001_106,NONE,MO_1_25039,MAP
MO_100001_106,NONE,VMR_2_177606,MAP
MO_100001_107,NONE,MO_1_25040,MAP
MO_100001_107,NONE,VMR_2_177607,MAP
MO_100001_108,NONE,MO_1_25041,MAP
MO_100001_108,NONE,VMR_2_177608,MAP
MO_100001_109,NONE,MO_1_25042,MAP
MO_100001_109,NONE,VMR_2_177609,MAP
MO_100001_110,NONE,MO_1_25043,MAP
MO_100001_110,NONE,VMR_2_177610,MAP
MO_100001_111,NONE,MO_1_25044,MAP
MO_100001_111,NONE,VMR_2_177611,MAP
MO_100001_112,NONE,MO_1_25045,MAP
MO_100001_112,NONE,VMR_2_177612,MAP
MO_100001_113,NONE,MO_1_25046,MAP
MO_100001_113,NONE,VMR_2_177613,MAP
MO_100001_114,NONE,MO_1_25047,MAP
MO_100001_114,NONE,VMR_2_177614,MAP
MO_100001_115,NONE,MO_1_25050,MAP
MO_100001_115,NONE,VMR_2_177617,MAP
MO_100001_116,NONE,MO_1_25051,MAP
MO_100001_116,NONE,VMR_2_177618,MAP
MO_100001_117,NONE,MO_1_25052,MAP
MO_100001_117,NONE,VMR_2_177619,MAP
MO_100001_118,NONE,MO_1_25053,MAP
MO_100001_118,NONE,VMR_2_177620,MAP
MO_100001_119,NONE,MO_1_25054,MAP
MO_100001_119,NONE,VMR_2_177621,MAP
MO_100001_120,NONE,MO_1_25055,MAP
MO_100001_120,NONE,VMR_2_177622,MAP
MO_100001_121,NONE,MO_1_25056,MAP
MO_100001_121,NONE,VMR_2_177623,MAP
MO_100001_122,NONE,MO_1_28403,MAP
MO_100001_122,NONE,VMR_2_188354,MAP
MO_100001_123,NONE,MO_1_28407,MAP
MO_100001_123,NONE,VMR_2_188358,MAP
MO_100001_124,NONE,MO_1_28408,MAP
MO_100001_124,NONE,VMR_2_188359,MAP
MO_100001_125,NONE,MO_1_28439,MAP
MO_100001_125,NONE,VMR_2_188390,MAP
MO_100001_126,NONE,MO_1_28442,MAP
MO_100001_126,NONE,VMR_2_188393,MAP
MO_100001_127,NONE,MO_1_28448,MAP
MO_100001_127,NONE,VMR_2_188399,MAP
MO_100001_128,NONE,MO_1_28454,MAP
MO_100001_128,NONE,VMR_2_188405,MAP
MO_100001_129,NONE,MO_1_28472,MAP
MO_100001_129,NONE,VMR_2_188423,MAP
MO_100001_130,NONE,MO_1_15704,MAP
MO_100001_130,NONE,VMR_2_189718,MAP
MO_100001_131,NONE,MO_1_15723,MAP
MO_100001_131,NONE,VMR_2_189737,MAP
MO_100001_132,NONE,MO_1_15729,MAP
MO_100001_132,NONE,VMR_2_189743,MAP
