:START_ID,DATA,:END_ID,:TYPE
PD_100001,RWX,MO_100001_1,HOLD
PD_100001,RWX,MO_100001_2,HOLD
PD_100001,RWX,MO_100001_3,HOLD
PD_100001,RWX,MO_100001_4,HOLD
PD_100001,RWX,MO_100001_5,HOLD
PD_100001,RWX,MO_100001_6,HOLD
PD_100001,RWX,MO_100001_7,HOLD
PD_100001,RWX,MO_100001_8,HOLD
PD_100001,RWX,MO_100001_9,HOLD
PD_100001,RWX,MO_100001_10,HOLD
PD_100001,RWX,MO_100001_11,HOLD
PD_100001,RWX,MO_100001_12,HOLD
PD_100001,RWX,MO_100001_13,HOLD
PD_100001,RWX,MO_100001_14,HOLD
PD_100001,RWX,MO_100001_15,HOLD
PD_100001,RWX,MO_100001_16,HOLD
PD_100001,RWX,MO_100001_17,HOLD
PD_100001,RWX,MO_100001_18,HOLD
PD_100001,RWX,MO_100001_19,HOLD
PD_100001,RWX,MO_100001_20,HOLD
PD_100001,RWX,MO_100001_21,HOLD
PD_100001,RWX,MO_100001_22,HOLD
PD_100001,RWX,MO_100001_23,HOLD
PD_100001,RWX,MO_100001_24,HOLD
PD_100001,RWX,MO_100001_25,HOLD
PD_100001,RWX,MO_100001_26,HOLD
PD_100001,RWX,MO_100001_27,HOLD
PD_100001,RWX,MO_100001_28,HOLD
PD_100001,RWX,MO_100001_29,HOLD
PD_100001,RWX,MO_100001_30,HOLD
PD_100001,RWX,MO_100001_31,HOLD
PD_100001,RWX,MO_100001_32,HOLD
PD_100001,RWX,MO_100001_33,HOLD
PD_100001,RWX,MO_100001_34,HOLD
PD_100001,RWX,MO_100001_35,HOLD
PD_100001,RWX,MO_100001_36,HOLD
PD_100001,RWX,MO_100001_37,HOLD
PD_100001,RWX,MO_100001_38,HOLD
PD_100001,RWX,MO_100001_39,HOLD
PD_100001,RWX,MO_100001_40,HOLD
PD_100001,RWX,MO_100001_41,HOLD
PD_100001,RWX,MO_100001_42,HOLD
PD_100001,RWX,MO_100001_43,HOLD
PD_100001,RWX,MO_100001_44,HOLD
PD_100001,RWX,MO_100001_45,HOLD
PD_100001,RWX,MO_100001_46,HOLD
PD_100001,RWX,MO_100001_47,HOLD
PD_100001,RWX,MO_100001_48,HOLD
PD_100001,RWX,MO_100001_49,HOLD
PD_100001,RWX,MO_100001_50,HOLD
PD_100001,RWX,MO_100001_51,HOLD
PD_100001,RWX,MO_100001_52,HOLD
PD_100001,RWX,MO_100001_53,HOLD
PD_100001,RWX,MO_100001_54,HOLD
PD_100001,RWX,MO_100001_55,HOLD
PD_100001,RWX,MO_100001_56,HOLD
PD_100001,RWX,MO_100001_57,HOLD
PD_100001,RWX,MO_100001_58,HOLD
PD_100001,RWX,MO_100001_59,HOLD
PD_100001,RWX,MO_100001_60,HOLD
PD_100001,RWX,MO_100001_61,HOLD
PD_100001,RWX,MO_100001_62,HOLD
PD_100001,RWX,MO_100001_63,HOLD
PD_100001,RWX,MO_100001_64,HOLD
PD_100001,RWX,MO_100001_65,HOLD
PD_100001,RWX,MO_100001_66,HOLD
PD_100001,RWX,MO_100001_67,HOLD
PD_100001,RWX,MO_100001_68,HOLD
PD_100001,RWX,MO_100001_69,HOLD
PD_100001,RWX,MO_100001_70,HOLD
PD_100001,RWX,MO_100001_71,HOLD
PD_100001,RWX,MO_100001_72,HOLD
PD_100001,RWX,MO_100001_73,HOLD
PD_100001,RWX,MO_100001_74,HOLD
PD_100001,RWX,MO_100001_75,HOLD
PD_100001,RWX,MO_100001_76,HOLD
PD_100001,RWX,MO_100001_77,HOLD
PD_100001,RWX,MO_100001_78,HOLD
PD_100001,RWX,MO_100001_79,HOLD
PD_100001,RWX,MO_100001_80,HOLD
PD_100001,RWX,MO_100001_81,HOLD
PD_100001,RWX,MO_100001_82,HOLD
PD_100001,RWX,MO_100001_83,HOLD
PD_100001,RWX,MO_100001_84,HOLD
PD_100001,RWX,MO_100001_85,HOLD
PD_100001,RWX,MO_100001_86,HOLD
PD_100001,RWX,MO_100001_87,HOLD
PD_100001,RWX,MO_100001_88,HOLD
PD_100001,RWX,MO_100001_89,HOLD
PD_100001,RWX,MO_100001_90,HOLD
PD_100001,RWX,MO_100001_91,HOLD
PD_100001,RWX,MO_100001_92,HOLD
PD_100001,RWX,MO_100001_93,HOLD
PD_100001,RWX,MO_100001_94,HOLD
PD_100001,RWX,MO_100001_95,HOLD
PD_100001,RWX,MO_100001_96,HOLD
PD_100001,RWX,MO_100001_97,HOLD
PD_100001,RWX,MO_100001_98,HOLD
PD_100001,RWX,MO_100001_99,HOLD
PD_100001,RWX,MO_100001_100,HOLD
PD_100001,RWX,MO_100001_101,HOLD
PD_100001,RWX,MO_100001_102,HOLD
PD_100001,RWX,MO_100001_103,HOLD
PD_100001,RWX,MO_100001_104,HOLD
PD_100001,RWX,MO_100001_105,HOLD
PD_100001,RWX,MO_100001_106,HOLD
PD_100001,RWX,MO_100001_107,HOLD
PD_100001,RWX,MO_100001_108,HOLD
PD_100001,RWX,MO_100001_109,HOLD
PD_100001,RWX,MO_100001_110,HOLD
PD_100001,RWX,MO_100001_111,HOLD
PD_100001,RWX,MO_100001_112,HOLD
PD_100001,RWX,MO_100001_113,HOLD
PD_100001,RWX,MO_100001_114,HOLD
PD_100001,RWX,MO_100001_115,HOLD
PD_100001,RWX,MO_100001_116,HOLD
PD_100001,RWX,MO_100001_117,HOLD
PD_100001,RWX,MO_100001_118,HOLD
PD_100001,RWX,MO_100001_119,HOLD
PD_100001,RWX,MO_100001_120,HOLD
PD_100001,RWX,MO_100001_121,HOLD
PD_100001,RWX,MO_100001_122,HOLD
PD_100001,RWX,MO_100001_123,HOLD
PD_100001,RWX,MO_100001_124,HOLD
PD_100001,RWX,MO_100001_125,HOLD
PD_100001,RWX,MO_100001_126,HOLD
PD_100001,RWX,MO_100001_127,HOLD
PD_100001,RWX,MO_100001_128,HOLD
PD_100001,RWX,MO_100001_129,HOLD
PD_100001,RWX,MO_100001_130,HOLD
PD_100001,RWX,MO_100001_131,HOLD
PD_100001,RWX,MO_100001_132,HOLD
PD_100001,RWX,VMR_100002_1,HOLD
PD_100001,RWX,VMR_100002_2,HOLD
PD_100001,RWX,VMR_100002_3,HOLD
PD_100001,RWX,VMR_100002_4,HOLD
PD_100001,RWX,VMR_100002_5,HOLD
PD_100001,RWX,VMR_100002_6,HOLD
PD_100001,RWX,VMR_100002_7,HOLD
PD_100001,RWX,VMR_100002_8,HOLD
PD_100001,RWX,VMR_100002_9,HOLD
PD_100001,RWX,VMR_100002_10,HOLD
PD_100001,RWX,VMR_100002_11,HOLD
PD_100001,RWX,VMR_100002_12,HOLD
PD_100001,RWX,VMR_100002_13,HOLD
PD_100001,RWX,VMR_100002_14,HOLD
PD_100001,RWX,VMR_100002_15,HOLD
PD_100001,RWX,VMR_100002_16,HOLD
PD_100001,RWX,VMR_100002_17,HOLD
PD_100001,RWX,VMR_100002_18,HOLD
PD_100001,RWX,VMR_100002_19,HOLD
PD_100001,RWX,VMR_100002_20,HOLD
PD_100001,RWX,VMR_100002_21,HOLD
PD_100001,RWX,VMR_100002_22,HOLD
PD_100001,RWX,VMR_100002_23,HOLD
PD_100001,RWX,VMR_100003_1,HOLD
PD_100001,RWX,VMR_100003_2,HOLD
PD_100001,RWX,VMR_100003_3,HOLD
PD_100001,RWX,VMR_100003_4,HOLD
PD_100001,RWX,VMR_100003_5,HOLD
PD_100001,RWX,VMR_100003_6,HOLD
PD_100001,RWX,VMR_100003_7,HOLD
PD_100001,RWX,VMR_100003_8,HOLD
PD_100001,RWX,VMR_100003_9,HOLD
PD_100001,RWX,VMR_100003_10,HOLD
PD_100001,RWX,VMR_100003_11,HOLD
PD_100001,RWX,VMR_100003_12,HOLD
PD_100001,RWX,VMR_100003_13,HOLD
PD_100001,RWX,VMR_100003_14,HOLD
PD_100001,RWX,VMR_100003_15,HOLD
PD_100001,RWX,VMR_100003_16,HOLD
PD_100001,RWX,VMR_100003_17,HOLD
PD_100001,RWX,VMR_100003_18,HOLD
PD_100001,RWX,VMR_100003_19,HOLD
PD_100001,RWX,VMR_100003_20,HOLD
PD_100001,RWX,VMR_100003_21,HOLD
PD_100001,RWX,VMR_100003_22,HOLD
PD_100001,RWX,VMR_100003_23,HOLD
MO_100001_1,NONE,MO_SPACE_100001,SUBSET
MO_100001_2,NONE,MO_SPACE_100001,SUBSET
MO_100001_3,NONE,MO_SPACE_100001,SUBSET
MO_100001_4,NONE,MO_SPACE_100001,SUBSET
MO_100001_5,NONE,MO_SPACE_100001,SUBSET
MO_100001_6,NONE,MO_SPACE_100001,SUBSET
MO_100001_7,NONE,MO_SPACE_100001,SUBSET
MO_100001_8,NONE,MO_SPACE_100001,SUBSET
MO_100001_9,NONE,MO_SPACE_100001,SUBSET
MO_100001_10,NONE,MO_SPACE_100001,SUBSET
MO_100001_11,NONE,MO_SPACE_100001,SUBSET
MO_100001_12,NONE,MO_SPACE_100001,SUBSET
MO_100001_13,NONE,MO_SPACE_100001,SUBSET
MO_100001_14,NONE,MO_SPACE_100001,SUBSET
MO_100001_15,NONE,MO_SPACE_100001,SUBSET
MO_100001_16,NONE,MO_SPACE_100001,SUBSET
MO_100001_17,NONE,MO_SPACE_100001,SUBSET
MO_100001_18,NONE,MO_SPACE_100001,SUBSET
MO_100001_19,NONE,MO_SPACE_100001,SUBSET
MO_100001_20,NONE,MO_SPACE_100001,SUBSET
MO_100001_21,NONE,MO_SPACE_100001,SUBSET
MO_100001_22,NONE,MO_SPACE_100001,SUBSET
MO_100001_23,NONE,MO_SPACE_100001,SUBSET
MO_100001_24,NONE,MO_SPACE_100001,SUBSET
MO_100001_25,NONE,MO_SPACE_100001,SUBSET
MO_100001_26,NONE,MO_SPACE_100001,SUBSET
MO_100001_27,NONE,MO_SPACE_100001,SUBSET
MO_100001_28,NONE,MO_SPACE_100001,SUBSET
MO_100001_29,NONE,MO_SPACE_100001,SUBSET
MO_100001_30,NONE,MO_SPACE_100001,SUBSET
MO_100001_31,NONE,MO_SPACE_100001,SUBSET
MO_100001_32,NONE,MO_SPACE_100001,SUBSET
MO_100001_33,NONE,MO_SPACE_100001,SUBSET
MO_100001_34,NONE,MO_SPACE_100001,SUBSET
MO_100001_35,NONE,MO_SPACE_100001,SUBSET
